五	五	wǔ	five/5
一退六二五	一退六二五	yī tuì liù èr wǔ	lit. 1 divided by 16 is 0.0625 (abacus rule)/fig. to deny responsibility/to pass the buck/also written 一推六二五[yī tuì liù èr wǔ]
三下五除二	三下五除二	sān xià wǔ chú èr	three, set five remove two (abacus rule)/efficiently/quickly and easily
三不五時	三不五时	sān bù wǔ shí	(Tw) from time to time/frequently
三五	三五	sān wǔ	several/three or five
三五成群	三五成群	sān wǔ chéng qún	in groups of three or four (idiom)
三令五申	三令五申	sān lìng wǔ shēn	to order again and again (idiom)
三俠五義	三侠五义	Sān xiá wǔ yì	Sanxia wuyi (lit. Three knight-errants and five righteous one), novel edited from stories of late Qing dynasty pinghua 評話|评话 master storyteller Shi Yukun 石玉昆
三番五次	三番五次	sān fān wǔ cì	over and over again (idiom)
三皇五帝	三皇五帝	sān huáng wǔ dì	three sovereigns 三皇[sān huáng] and five emperors 五帝[wǔ dì] of myth and legend/the earliest system of Chinese historiography
三綱五常	三纲五常	sān gāng wǔ cháng	three principles and five virtues (idiom)/the three rules (ruler guides subject, father guides son and husband guides wife) and five constant virtues of Confucianism (benevolence 仁, righteousness 義|义, propriety 禮|礼, wisdom 智 and fidelity 信)
上下五千年	上下五千年	shàng xià wǔ qiān nián	popular history of China in three volumes by Cao Yuzhang 曹余章
二一添作五	二一添作五	èr yī tiān zuò wǔ	lit. one half equals zero point five (division rule in abacus reckoning)/to share fairly between two parties/to go fifty-fifty
二十五史	二十五史	èr shí wǔ shǐ	twenty four dynastic histories (or 25 or 26 in modern editions)
二百五	二百五	èr bǎi wǔ	idiot/stupid person/a dope
一五一十	一五一十	yī wǔ yī shí	lit. count by fives and tens (idiom); to narrate systematically and in full detail
五一	五一	wǔ yī	5-1 (May 1st)
五七	五七	wǔ qī	memorial activity 35 days after a person's death
五七一代	五七一代	wǔ qī yī dài	generation of 1957/refers to Mao's anti-rightist purge of 1957
五七幹校	五七干校	wǔ qī gàn xiào	May 7 Cadre School (forcing educated people into re-education and peasant labor during Cultural Revolution)/abbr. for 五七幹部學校|五七干部学校[wǔ qī gàn bù xué xiào]
五七幹部學校	五七干部学校	wǔ qī gàn bù xué xiào	May 7 Cadre School (forcing educated people into re-education and peasant labor during Cultural Revolution)/abbr. to 五七幹校|五七干校
五世	五世	wǔ shì	the fifth (of series of numbered kings)
五五	五五	wǔ wǔ	50-50/equal (share, partnership etc)
五人墓碑記	五人墓碑记	wǔ rén mù bēi jì	Five tombstone inscriptions (1628), written by Zhang Pu 張溥|张溥[Zhāng Pǔ]
五代	五代	Wǔ dài	Five Dynasties, period of history between the fall of the Tang dynasty (907) and the founding of the Song dynasty (960), when five would-be dynasties were established in quick succession in North China
五代十國	五代十国	Wǔ dài Shí guó	Five Dynasties (907-960) and Ten Kingdoms (902-979), period of political turmoil in ancient China
五代史	五代史	Wǔ dài shǐ	History of the Five Dynasties, eighteenth of the 24 dynastic histories 二十四史[Èr shí sì Shǐ], compiled under Xue Juzheng 薛居正[Xuē Jū zhèng] in 974 during Northern Song 北宋[Běi Sòng], 150 scrolls
五倍子樹	五倍子树	wǔ bèi zi shù	Chinese sumac (Rhus chinensis)
五倫	五伦	wǔ lún	the five Confucian relationships (ruler-subject, father-son, brother-brother, husband-wife, friend-friend)
五光十色	五光十色	wǔ guāng shí sè	bright and multicolored/of rich variety/(fig.) dazzling/glitzy
五分之一	五分之一	wǔ fēn zhī yī	one fifth
五分熟	五分熟	wǔ fēn shú	medium (of steak)
五分美金	五分美金	wǔ fēn Měi jīn	nickel/five US cents
五刑	五刑	wǔ xíng	imperial five punishments of feudal China, up to Han times: tattooing characters on the forehead 墨[mò], cutting off the nose 劓[yì], amputation of one or both feet 刖[yuè], castration 宮|宫[gōng], execution 大辟[dà pì]/Han dynasty onwards: whipping 笞[chī], beating the legs and buttocks with rough thorns 杖[zhàng], forced labor 徒[tú], exile or banishment 流[liú], capital punishment 死[sǐ]
五加	五加	wǔ jiā	Acanthopanax gracilistylus
五勞七傷	五劳七伤	wǔ láo qī shāng	(TCM) "five strains and seven impairments", five referring to the five viscera 五臟|五脏[wǔ zàng], and seven to adverse effects on one's body as a result of: overeating (spleen), anger (liver), moisture (kidney), cold (lung), worry (heart), wind and rain (outer appearance) and fear (mind)
五十	五十	wǔ shí	fifty
五十步笑百步	五十步笑百步	wǔ shí bù xiào bǎi bù	the one who has retreated 50 steps laughs at the one who has retreated 100 steps (idiom)/the pot calls the kettle black
五十肩	五十肩	wǔ shí jiān	adhesive capsulitis (frozen shoulder)
五十鈴	五十铃	Wǔ shí líng	Isuzu
五卅	五卅	wǔ sà	abbr. for 五卅運動|五卅运动[wǔ sà yùn dòng], The May Thirtieth Movement (1925)
五卅運動	五卅运动	wǔ sà yùn dòng	anti-imperialist movement of 30th May 1925, involving general strike esp. in Shanghai, Guangzhou, Hong Kong etc
五原	五原	Wǔ yuán	Wuyuan county in Bayan Nur 巴彥淖爾|巴彦淖尔[Bā yàn nào ěr], Inner Mongolia
五原縣	五原县	Wǔ yuán xiàn	Wuyuan county in Bayan Nur 巴彥淖爾|巴彦淖尔[Bā yàn nào ěr], Inner Mongolia
五口通商	五口通商	wǔ kǒu tōng shāng	the five treaty ports forced on Qing China by the 1842 treaty of Nanjing 南京條約|南京条约 that concluded the First Opium War, namely: Guangzhou 廣州|广州, Fuzhou 福州, Ningbo 寧波|宁波, Xiamen or Amoy 廈門|厦门 and Shanghai 上海
五味	五味	wǔ wèi	the five flavors, namely: sweet 甜, sour 酸, bitter 苦, spicy hot 辣, salty 鹹|咸/all kinds of flavors
五味俱全	五味俱全	wǔ wèi jù quán	a complete gamut of all five flavors (idiom); every flavor under the sun
五味子	五味子	wǔ wèi zǐ	schizandra (Schisandra chinensis)/Magnolia vine
五味雜陳	五味杂陈	wǔ wèi zá chén	with complex feelings (idiom)
