億	亿	yì	100 million
以億計	以亿计	yǐ yì jì	to number in the thousands
億萬	亿万	yì wàn	millions and millions
億萬富翁	亿万富翁	yì wàn fù wēng	billionaire/multimillionaire
億萬富豪	亿万富豪	yì wàn fù háo	multi-millionaire
十億	十亿	shí yì	one billion/giga-
十億位元	十亿位元	shí yì wèi yuán	gigabit
十多億	十多亿	shí duō yì	over one billion/more than a billion
千億	千亿	qiān yì	myriads/hundred billion
數以億計	数以亿计	shù yǐ yì jì	countless/innumerable
數十億	数十亿	shù shí yì	several billion
楊億	杨亿	Yáng Yì	Yang Yi (974-1020), Northern Song dynasty writer and poet
