僅	仅	jǐn	barely/only/merely
不僅如此	不仅如此	bù jǐn rú cǐ	not only that, but ...
不僅	不仅	bù jǐn	not only (this one)/not just (...) but also
僅作參考	仅作参考	jǐn zuò cān kǎo	for reference only
僅供	仅供	jǐn gōng	only for
僅供參考	仅供参考	jǐn gōng cān kǎo	for reference only
僅僅	仅仅	jǐn jǐn	barely/only/merely/only (this and nothing more)
僅次于	仅次于	jǐn cì yú	second only to.../(in second place) preceded only by...
僅此而已	仅此而已	jǐn cǐ ér yǐ	that's all/just this and nothing more
當且僅當	当且仅当	dāng qiě jǐn dāng	if and only if
碩果僅存	硕果仅存	shuò guǒ jǐn cún	only remaining of the great (idiom); one of the few greats extant
絕無僅有	绝无仅有	jué wú jǐn yǒu	one and only (idiom); rarely seen/unique of its kind
