傷	伤	shāng	to injure/injury/wound
丘腦損傷	丘脑损伤	qiū nǎo sǔn shāng	thalamic lesions
中傷	中伤	zhòng shāng	to slander/to smear
二虎相鬥，必有一傷	二虎相斗，必有一伤	èr hǔ xiāng dòu , bì yǒu yī shāng	lit. when two tigers fight, one is sure to be wounded (idiom)/fig. if it comes to a fight, someone will get hurt
五勞七傷	五劳七伤	wǔ láo qī shāng	(TCM) "five strains and seven impairments", five referring to the five viscera 五臟|五脏[wǔ zàng], and seven to adverse effects on one's body as a result of: overeating (spleen), anger (liver), moisture (kidney), cold (lung), worry (heart), wind and rain (outer appearance) and fear (mind)
五癆七傷	五痨七伤	wǔ láo qī shāng	variant of 五勞七傷|五劳七伤[wǔ láo qī shāng]
個人傷害	个人伤害	gè rén shāng hài	personal injury
不傷脾胃	不伤脾胃	bù shāng pí wèi	lit. doesn't hurt the spleen or the stomach/fig. something that is not critical
傷不起	伤不起	shāng bù qǐ	(slang) it's just the pits!/so unfair!/unbearable
傷亡	伤亡	shāng wáng	casualties/injuries and deaths
傷人	伤人	shāng rén	to injure sb
傷俘	伤俘	shāng fú	wounded and captured
傷停補時	伤停补时	shāng tíng bǔ shí	(sports) injury time
傷別	伤别	shāng bié	sorrowful farewell/sad goodbye
傷勢	伤势	shāng shì	condition of an injury
傷及無辜	伤及无辜	shāng jí wú gū	to harm the innocent (idiom)
傷口	伤口	shāng kǒu	wound/cut
傷和氣	伤和气	shāng hé qi	to damage a good relationship/to hurt sb's feelings
傷員	伤员	shāng yuán	wounded person
傷天害理	伤天害理	shāng tiān hài lǐ	to offend Heaven and reason (idiom); bloody atrocities that cry to heaven/outrageous acts
傷害	伤害	shāng hài	to injure/to harm
傷寒	伤寒	shāng hán	typhoid
傷寒沙門氏菌	伤寒沙门氏菌	shāng hán shā mén shì jūn	salmonella typhimurium
傷寒症	伤寒症	shāng hán zhèng	typhoid
傷弓之鳥	伤弓之鸟	shāng gōng zhī niǎo	see 驚弓之鳥|惊弓之鸟[jīng gōng zhī niǎo]
傷心	伤心	shāng xīn	to grieve/to be broken-hearted/to feel deeply hurt
傷心慘目	伤心惨目	shāng xīn cǎn mù	(idiom) too appalling to look at
傷心致死	伤心致死	shāng xīn zhì sǐ	to grieve to death/to die of a broken-heart
傷心蒿目	伤心蒿目	shāng xīn hāo mù	to grieve/broken-hearted
傷患	伤患	shāng huàn	injured person
傷悲	伤悲	shāng bēi	sad/sorrowful (literary)
傷悼	伤悼	shāng dào	to grieve for deceased relative/to mourn
傷感	伤感	shāng gǎn	sad/emotional/sentimental/pathos
傷懷	伤怀	shāng huái	grieved/full of sorrow
傷殘	伤残	shāng cán	disabled/maimed/crippled/(of objects) damaged
傷殘人員	伤残人员	shāng cán rén yuán	the injured/wounded personnel
傷疤	伤疤	shāng bā	scar/CL:道[dào]
傷病員	伤病员	shāng bìng yuán	the sick and the wounded
傷痕	伤痕	shāng hén	scar/bruise
傷痕累累	伤痕累累	shāng hén lěi lěi	bruised/riddled with scars
傷痛	伤痛	shāng tòng	pain (from wound)/sorrow
傷筋動骨	伤筋动骨	shāng jīn dòng gǔ	to suffer serious injury (idiom)
傷筋斷骨	伤筋断骨	shāng jīn duàn gǔ	to suffer serious injury (idiom)
傷者	伤者	shāng zhě	casualty/victim (of an accident)/wounded person
傷耗	伤耗	shāng hào	damage (e.g. to goods in transit)
傷腦筋	伤脑筋	shāng nǎo jīn	to be a real headache/to find sth a real headache/to beat one's brains
傷號	伤号	shāng hào	casualties/wounded soldiers
傷透	伤透	shāng tòu	to break (sb's heart)/to cause grief to
傷道	伤道	shāng dào	wound track (the path of a bullet through the body)
傷風	伤风	shāng fēng	to catch cold
傷風敗俗	伤风败俗	shāng fēng bài sú	offending public morals (idiom)
免受傷害	免受伤害	miǎn shòu shāng hài	to avoid damage
內傷	内伤	nèi shāng	internal injury/disorder of internal organs (due to improper nutrition, overexertion etc)
兩敗俱傷	两败俱伤	liǎng bài jù shāng	both sides suffer (idiom)/neither side wins
兩虎相爭，必有一傷	两虎相争，必有一伤	liǎng hǔ xiāng zhēng , bì yǒu yī shāng	if two tigers fight, one will get injured (idiom)/if you start a war, someone is bound to get hurt
兩虎相鬥，必有一傷	两虎相斗，必有一伤	liǎng hǔ xiāng dòu , bì yǒu yī shāng	when two tigers fight, one will get injured (idiom)/if it comes to a fight, someone will get hurt.
公傷	公伤	gōng shāng	work-related injury
公傷事故	公伤事故	gōng shāng shì gù	industrial accident/work-related injury
凍傷	冻伤	dòng shāng	frostbite
刮傷	刮伤	guā shāng	scratch (wound)/scratch (damage to an object)
刺傷	刺伤	cì shāng	to stab
前部皮層下損傷	前部皮层下损伤	qián bù pí céng xià sǔn shāng	anterior subcortical lesions
副傷寒	副伤寒	fù shāng hán	paratyphoid fever
割傷	割伤	gē shāng	to gash/to cut/gash/cut
創傷	创伤	chuāng shāng	wound/injury/trauma
創傷後	创伤后	chuāng shāng hòu	post-traumatic
創傷後壓力	创伤后压力	chuāng shāng hòu yā lì	post-traumatic stress
創傷後壓力紊亂	创伤后压力紊乱	chuāng shāng hòu yā lì wěn luàn	post-traumatic stress disorder PTSD
創傷後心理壓力緊張綜合症	创伤后心理压力紧张综合症	chuāng shāng hòu xīn lǐ yā lì jǐn zhāng zōng hé zhèng	post-traumatic stress disorder (PTSD)
劃傷	划伤	huá shāng	to damage by scratching/to gash/to lacerate
勞傷	劳伤	láo shāng	disorder of internal organs caused by overexertion
勞民傷財	劳民伤财	láo mín shāng cái	waste of manpower and resources
受傷	受伤	shòu shāng	to sustain injuries/wounded (in an accident etc)/harmed
咬傷	咬伤	yǎo shāng	bite (e.g. snake bite, mosquito bite)
哀傷	哀伤	āi shāng	grief/distress/bereavement/grieved/heartbroken/dejected
哀傷地	哀伤地	āi shāng de	pathetically
哀而不傷	哀而不伤	āi ér bù shāng	deeply felt but not mawkish (idiom)
地方性斑疹傷寒	地方性斑疹伤寒	dì fāng xìng bān zhěn shāng hán	murine typhus fever
基底神經節孫損傷	基底神经节孙损伤	jī dǐ shén jīng jié sūn sǔn shāng	basal ganglia lesions
外傷	外伤	wài shāng	injury/wound/trauma
大傷元氣	大伤元气	dà shāng yuán qì	to ruin one's constitution
大規模殺傷性武器	大规模杀伤性武器	dà guī mó shā shāng xìng wǔ qì	weapons of mass destruction
大量殺傷武器	大量杀伤武器	dà liàng shā shāng wǔ qì	weapons of mass destruction
好了傷疤忘了疼	好了伤疤忘了疼	hǎo le shāng bā wàng le téng	to forget past pains once the wound has healed (idiom)
小作怡情，大作傷身	小作怡情，大作伤身	xiǎo zuò yí qíng , dà zuò shāng shēn	a little bit of it does one good, but carried to excess it's harmful (idiom)
少壯不努力，老大徒傷悲	少壮不努力，老大徒伤悲	shào zhuàng bù nǔ lì , lǎo dà tú shāng bēi	if you are lazy in your prime, you'll be sorry in your old age
工傷	工伤	gōng shāng	industrial injury
工傷假	工伤假	gōng shāng jià	injury leave
弄傷	弄伤	nòng shāng	to bruise/to hurt (something)
悲傷	悲伤	bēi shāng	sad/sorrowful
惡意中傷	恶意中伤	è yì zhōng shāng	malicious libel/slander
惡言傷人	恶言伤人	è yán shāng rén	to insult/to direct bad language at sb/to slag off
惡語中傷	恶语中伤	è yǔ zhòng shāng	vicious slander/to calumny maliciously
惡語傷人	恶语伤人	è yǔ shāng rén	to insult/to direct bad language at sb/to slag off
感傷	感伤	gǎn shāng	sad/downhearted/sentimental/pathos/melancholy
憂傷	忧伤	yōu shāng	distressed/laden with grief
打傷	打伤	dǎ shāng	to injure/to wound/to damage
扭傷	扭伤	niǔ shāng	a sprain/a crick/to sprain
抓傷	抓伤	zhuā shāng	to injure by scratching or clawing
拉傷	拉伤	lā shāng	to pull/to injure by straining
探傷	探伤	tàn shāng	to inspect metal for flaws (using X-ray or ultrasound etc)
損傷	损伤	sǔn shāng	to harm/to damage/to injure/impairment/loss/disability
摔傷	摔伤	shuāi shāng	to injure oneself in a fall
撞傷	撞伤	zhuàng shāng	bruise/bump
擦傷	擦伤	cā shāng	to abrade/to scrape/to chafe/to graze/abrasion/friction burn/scratch
救死扶傷	救死扶伤	jiù sǐ fú shāng	to help the dying and heal the injured
斑疹傷寒	斑疹伤寒	bān zhěn shāng hán	typhus
日曬傷	日晒伤	rì shài shāng	sunburn
暗傷	暗伤	àn shāng	internal (invisible) injury (damage)
曬傷	晒伤	shài shāng	to get sunburnt/sunburn
槍傷	枪伤	qiāng shāng	gunshot wound
死傷	死伤	sǐ shāng	casualties/dead and injured
死傷者	死伤者	sǐ shāng zhě	casualty (of an accident)/dead and wounded
殺傷	杀伤	shā shāng	to kill or injure
殺傷力	杀伤力	shā shāng lì	destructive power/harmfulness
毀傷	毁伤	huǐ shāng	to injure/to damage
淤傷	淤伤	yū shāng	bruising
灼傷	灼伤	zhuó shāng	a burn (tissue damage from heat, chemicals etc)/to burn (the skin etc)/(fig.) (of anger, jealousy etc) to hurt (sb)
無傷大雅	无伤大雅	wú shāng dà yǎ	(of a defect etc) to be of no great matter (idiom)/harmless
燒傷	烧伤	shāo shāng	burn (injury)
燒灼傷	烧灼伤	shāo zhuó shāng	burn (injury)/scorching
燙傷	烫伤	tàng shāng	to scald
瘀傷	瘀伤	yū shāng	to become bruised/bruising/bruise
療傷	疗伤	liáo shāng	healing/to heal/to make healthy again
皮外傷	皮外伤	pí wài shāng	superficial wound/a bruise
皮層性視損傷	皮层性视损伤	pí céng xìng shì sǔn shāng	cortical visual impairment (CVI)
砍傷	砍伤	kǎn shāng	to wound with a blade or hatchet/to slash/to gash
破傷風	破伤风	pò shāng fēng	tetanus (lockjaw)
破片殺傷	破片杀伤	pò piàn shā shāng	(military) fragmentation (grenade, bomb etc)
硬傷	硬伤	yìng shāng	injury/trauma/(fig.) glaring error/flaw/shortcoming
神傷	神伤	shén shāng	depressed/dispirited/dejected
神經性視損傷	神经性视损伤	shén jīng xìng shì sǔn shāng	neurological visual impairment (NVI)
老大徒傷悲	老大徒伤悲	lǎo dà tú shāng bēi	vain regrets of old age (idiom)
腦損傷	脑损伤	nǎo sǔn shāng	brain damage
致命傷	致命伤	zhì mìng shāng	mortal wound/(fig.) fatal weakness/Achilles' heel
視損傷	视损伤	shì sǔn shāng	visual impairment
觸景傷情	触景伤情	chù jǐng shāng qíng	circumstances that evoke mixed feelings (idiom)
觸目傷心	触目伤心	chù mù shāng xīn	distressing sight (idiom)
誤傷	误伤	wù shāng	to injure accidentally/accidental injury
負傷	负伤	fù shāng	to be wounded/to sustain an injury
跌打損傷	跌打损伤	diē dǎ sǔn shāng	injury such as contusion, sprain or fracture from falling, blow etc
身負重傷	身负重伤	shēn fù zhòng shāng	seriously injured
輕傷	轻伤	qīng shāng	lightly wounded/minor injuries
遍體鱗傷	遍体鳞伤	biàn tǐ lín shāng	covered all over with cuts and bruises/beaten black and blue/be a mass of bruises
遲發性損傷	迟发性损伤	chí fā xìng sǔn shāng	delayed lesion
重傷	重伤	zhòng shāng	seriously hurt/serious injury
重複使力傷害	重复使力伤害	chóng fù shǐ lì shāng hài	repetitive strain injury (RSI)
養傷	养伤	yǎng shāng	to heal a wound/to recuperate (from an injury)
養虎傷身	养虎伤身	yǎng hǔ shāng shēn	Rear a tiger and court disaster. (idiom); fig. if you're too lenient with sb, he will damage you later/to cherish a snake in one's bosom
驗傷	验伤	yàn shāng	to examine a wound or injury (typically for forensic purposes)
鱗傷	鳞伤	lín shāng	cuts and bruises like fish scales/terribly cut up
鼠型斑疹傷寒	鼠型斑疹伤寒	shǔ xíng bān zhěn shāng hán	murine typhus
鼠蚤型斑疹傷寒	鼠蚤型斑疹伤寒	shǔ zǎo xíng bān zhěn shāng hán	murine typhus fever
