倫	伦	lún	human relationship/order/coherence
不倫不類	不伦不类	bù lún bù lèi	out of place/inappropriate/incongruous
不列顛哥倫比亞	不列颠哥伦比亚	Bù liè diān Gē lún bǐ yà	British Columbia, Pacific province of Canada
不列顛哥倫比亞省	不列颠哥伦比亚省	Bù liè diān Gē lún bǐ yà shěng	British Columbia, Pacific province of Canada
亂倫	乱伦	luàn lún	incest/immorality/depravity/fornication
五倫	五伦	wǔ lún	the five Confucian relationships (ruler-subject, father-son, brother-brother, husband-wife, friend-friend)
亞倫	亚伦	Yà lún	Aaron (name)/Yaren, capital of Nauru
伊倫	伊伦	Yī lún	Irun (city in Basque region of Spain)
休倫湖	休伦湖	Xiū lún Hú	Lake Huron, one of the Great Lakes 五大湖[Wǔ dà hú]
佛羅倫斯	佛罗伦斯	Fó luó lún sī	Florence, city in Italy (Tw)
佛羅倫薩	佛罗伦萨	Fó luó lún sà	Florence, city in Italy
不倫	不伦	bù lún	(of a relationship) improper (adulterous, incestuous, teacher-student etc)/unseemly
倫巴	伦巴	lún bā	rumba (loanword)
倫常	伦常	lún cháng	proper human relationships
倫敦	伦敦	Lún dūn	London, capital of United Kingdom
倫敦國際金融期貨交易所	伦敦国际金融期货交易所	Lún dūn Guó jì Jīn róng Qī huò Jiāo yì suǒ	London International Financial Futures and Options Exchange (LIFFE)
倫敦大學亞非學院	伦敦大学亚非学院	Lún dūn Dà xué Yà Fēi Xué yuàn	London University School of Oriental and African Studies (SOAS)
倫敦大學學院	伦敦大学学院	Lún dūn Dà xué Xué yuàn	University College, London
倫敦證券交易所	伦敦证券交易所	Lún dūn Zhèng quàn Jiāo yì suǒ	London Stock Exchange (LSE)
倫理	伦理	lún lǐ	ethics
倫理學	伦理学	lún lǐ xué	ethics
倫琴	伦琴	Lún qín	Wilhelm Conrad Röntgen (1845-1923), German mechanical engineer
倫琴射線	伦琴射线	lún qín shè xiàn	X-ray/Röntgen or Roentgen ray
傑克·倫敦	杰克·伦敦	Jié kè · Lún dūn	Jack London (1876-1916), American writer
傲視群倫	傲视群伦	ào shì qún lún	outstanding talent (idiom)/incomparable artistic merit/accomplishment out of the ordinary
勞倫斯	劳伦斯	Láo lún sī	Lawrence (person name)
北萊茵·威斯特法倫州	北莱茵·威斯特法伦州	Běi lái yīn · Wēi sī tè fǎ lún zhōu	Nordrhein-Westfalen, state of Germany
卡梅倫	卡梅伦	Kǎ méi lún	Cameron (name)
古巴比倫	古巴比伦	gǔ Bā bǐ lún	ancient Babylon
可倫坡	可伦坡	Kě lún pō	Colombo, capital of Sri Lanka (Tw)
周杰倫	周杰伦	Zhōu Jié lún	Jay Chou (1979-), Taiwanese pop star
呼倫湖	呼伦湖	Hū lún Hú	Hulun Lake of Inner Mongolia
呼倫貝爾	呼伦贝尔	Hū lún bèi ěr	Hulunbuir prefecture-level city in Inner Mongolia
呼倫貝爾市	呼伦贝尔市	Hū lún bèi ěr shì	Hulunbuir prefecture-level city in Inner Mongolia
呼倫貝爾盟	呼伦贝尔盟	Hū lún bèi ěr méng	Hulunbeir league (equivalent to prefecture), Inner Mongolia
呼倫貝爾草原	呼伦贝尔草原	Hū lún bèi ěr cǎo yuán	Hulunbuir grasslands of Inner Mongolia
哈倫褲	哈伦裤	hā lún kù	harem pants (loanword)
哥倫布	哥伦布	Gē lún bù	Cristóbal Colón or Christopher Columbus (1451-1506)/Columbus, capital of Ohio
哥倫布紀	哥伦布纪	gē lún bù jì	Columbus
