佔	占	zhàn	variant of 占[zhàn]
佔上風	占上风	zhàn shàng fēng	to take the lead/to gain the upper hand
佔下風	占下风	zhàn xià fēng	to be at a disadvantage
佔中	占中	Zhàn Zhōng	Occupy Central, Hong Kong civil disobedience movement (September 2014 -)
佔便宜	占便宜	zhàn pián yi	advantageous/favorable/to benefit at others' expense/to take unfair advantage
佔優勢	占优势	zhàn yōu shì	to predominate/to occupy a dominant position
佔先	占先	zhàn xiān	to take precedence
佔去	占去	zhàn qù	to take up (one's time etc)/to occupy (one's attention etc)/to account for (a proportion of sth)
佔城	占城	Zhàn chéng	Champa (Sanskrit: Campapura or Campanagara), ancient kingdom in the South of Vietnam c. 200-1693
佔婆	占婆	Zhàn pó	Champa (Sanskrit: Campapura or Campanagara), ancient kingdom in the South of Vietnam c. 200-1693
佔據	占据	zhàn jù	to occupy/to hold
佔族	占族	Zhàn zú	Cham ethnic group
佔有	占有	zhàn yǒu	to have/to own/to hold/to occupy/to possess/to account for (a high proportion etc)
佔為己有	占为己有	zhàn wéi jǐ yǒu	to appropriate to oneself (what rightfully belongs to others)
佔用	占用	zhàn yòng	to occupy
佔線	占线	zhàn xiàn	busy (telephone line)
佔領	占领	zhàn lǐng	to occupy (a territory)/to hold
佔領者	占领者	zhàn lǐng zhě	occupant
侵佔	侵占	qīn zhàn	to invade and occupy (territory)
多吃多佔	多吃多占	duō chī duō zhàn	taking or eating more than one's due (idiom); greedy and selfish
市佔率	市占率	shì zhàn lǜ	market share/abbr. for 市場佔有率|市场占有率
市場佔有率	市场占有率	shì chǎng zhàn yǒu lǜ	market share
強佔	强占	qiáng zhàn	to occupy by force
搶佔	抢占	qiǎng zhàn	to seize (the strategic high ground)
敵佔區	敌占区	dí zhàn qū	enemy occupied territory
獨佔	独占	dú zhàn	to monopolize/to control/to dominate
獨佔鰲頭	独占鳌头	dú zhàn áo tóu	to come first in triennial palace examinations (idiom, refers to the carved stone turtle head in front of the imperial palace, next to which the most successful candidate in the imperial examinations was entitled to stand)/to be the champion/to be the very best in any field
蘇佔區	苏占区	Sū zhàn qū	Soviet-occupied area (of Eastern Europe etc)
霸佔	霸占	bà zhàn	to occupy by force/to seize/to dominate
