併	并	bìng	to combine/to amalgamate
中西合併	中西合并	Zhōng Xī hé bìng	Chinese-Western fusion
交併	交并	jiāo bìng	occurring simultaneously
一併	一并	yī bìng	to lump together/to treat along with all the others
併入	并入	bìng rù	to merge into/to incorporate in
併吞	并吞	bìng tūn	to swallow up/to annex/to merge
併捲機	并卷机	bìng juǎn jī	ribbon lap machine
併發	并发	bìng fā	to be complicated by/to erupt simultaneously
併發症	并发症	bìng fā zhèng	complications (undesired side-effect of medical procedure)
併系群	并系群	bìng xì qún	paraphyletic group/also written 並系群|并系群[bìng xì qún]
併紗	并纱	bìng shā	doubling (combining two or more lengths of yarn into a single thread)
併購	并购	bìng gòu	merger and acquisition (M and A)/acquisition/to take over
併集	并集	bìng jí	union (symbol ∪) (set theory)
兼併	兼并	jiān bìng	to annex/to take over/to acquire
合併	合并	hé bìng	to merge/to annex
合併症	合并症	hé bìng zhèng	complication (medicine)
吞併	吞并	tūn bìng	to annex
撤併	撤并	chè bìng	to consolidate/to merge
歸併	归并	guī bìng	to put together/to add/to merge
連三併四	连三并四	lián sān bìng sì	one after the other/in succession (idiom)
