侶	侣	lǚ	companion
伴侶號	伴侣号	Bàn lǚ Hào	HMS Consort, Royal Navy destroyer involved in 1949 Amethyst incident on Changjiang
伴侶	伴侣	bàn lǚ	companion/mate/partner
僧侶	僧侣	sēng lǚ	monk
咖啡伴侶	咖啡伴侣	Kā fēi Bàn lǚ	Coffee-mate (non-dairy creamer manufactured by Nestlé)
性伴侶	性伴侣	xìng bàn lǚ	sex partner
情侶	情侣	qíng lǚ	sweethearts/lovers
情侶裝	情侣装	qíng lǚ zhuāng	matching outfit for couples
情侶鸚鵡	情侣鹦鹉	qíng lǚ yīng wǔ	lovebirds
愛侶	爱侣	ài lǚ	lovers
神雕俠侶	神雕侠侣	Shén diāo Xiá lǚ	The Return of the Condor Heroes (classic wuxia martial arts TV films of 1998 and 2006 based on novel by Jinyong 金庸)/variant of 神鵰俠侶|神雕侠侣
神鵰俠侶	神雕侠侣	Shén diāo Xiá lǚ	The Return of the Condor Heroes (classic wuxia martial arts TV films of 1998 and 2006 based on novel by Jinyong 金庸)
終生伴侶	终生伴侣	zhōng shēng bàn lǚ	lifelong partner or companion
