偉	伟	wěi	big/large/great
偉人	伟人	wěi rén	great person
偉力	伟力	wěi lì	mighty force
偉哥	伟哥	Wěi gē	Viagra (male impotence drug)
偉器	伟器	wěi qì	great talent
偉士牌	伟士牌	Wěi shì pái	Vespa (scooter)
偉大	伟大	wěi dà	huge/great/grand/worthy of the greatest admiration/important (contribution etc)
偉岸	伟岸	wěi àn	imposing/upright and tall/outstanding/gigantic in stature
偉晶岩	伟晶岩	wěi jīng yán	pegmatite
偉業	伟业	wěi yè	exploit/great undertaking
偉績	伟绩	wěi jì	great acts
偉舉	伟举	wěi jǔ	great feat/splendid achievement
偉觀	伟观	wěi guān	magnificent vista/a wonder
偉麗	伟丽	wěi lì	magnificent/imposing and beautiful
大偉	大伟	Dà wěi	David (name)
奇偉	奇伟	qí wěi	singular and majestic/strange and grand
宏偉	宏伟	hóng wěi	grand/imposing/magnificent
宏偉區	宏伟区	Hóng wěi qū	Hongwei district of Liaoyang city 遼陽市|辽阳市[Liáo yáng shì], Liaoning
楊利偉	杨利伟	Yáng Lì wěi	Yang Liwei (1965-), astronaut, first Chinese citizen in space
氣勢宏偉	气势宏伟	qì shì hóng wěi	imposing/majestic
瑰偉	瑰伟	guī wěi	ornate (style)/magnificent
英偉達	英伟达	Yīng wěi dá	NVIDIA, computer graphics card company
葉偉文	叶伟文	Yè Wěi wén	alias of 葉偉民|叶伟民[Yè Wěi mín]
葉偉民	叶伟民	Yè Wěi mín	Raymond YIP Wai-Man, Hong Kong film director (debut as director: 1994)
豐功偉績	丰功伟绩	fēng gōng wěi jì	glorious achievement (idiom)
雄偉	雄伟	xióng wěi	grand/imposing/magnificent/majestic
魁偉	魁伟	kuí wěi	tall and big/stalwart
