優	优	yōu	excellent/superior
佔優勢	占优势	zhàn yōu shì	to predominate/to occupy a dominant position
優伶	优伶	yōu líng	(old) performing artist/actor/actress
優先	优先	yōu xiān	to have priority/to take precedence
優先承購權	优先承购权	yōu xiān chéng gòu quán	prior purchase right/right of first refusal (ROFR)/preemptive right to purchase
優先股	优先股	yōu xiān gǔ	preferred stock
優先認股權	优先认股权	yōu xiān rèn gǔ quán	preemptive right (in share issue)
優劣	优劣	yōu liè	good and bad/merits and drawbacks
優勝	优胜	yōu shèng	winning/superior
優勝劣敗	优胜劣败	yōu shèng liè bài	see 優勝劣汰|优胜劣汰[yōu shèng liè tài]
優勝劣汰	优胜劣汰	yōu shèng liè tài	survival of the fittest (idiom)
優勢	优势	yōu shì	superiority/dominance/advantage
優化	优化	yōu huà	optimization/to optimize/to make superior
優厚	优厚	yōu hòu	generous, liberal (pay, compensation)
優哉遊哉	优哉游哉	yōu zāi yóu zāi	see 悠哉悠哉[yōu zāi yōu zāi]
優孟	优孟	Yōu Mèng	You Meng, famous court jester during the reign of King Zhuang of Chu 楚莊王|楚庄王[Chǔ Zhuāng wáng], known for his intelligence and sharp tongue
優尼科	优尼科	Yōu ní kē	Unocal (US oil company)
優待	优待	yōu dài	preferential treatment/to give preferential treatment
優待券	优待券	yōu dài quàn	discount coupon/complimentary ticket
優待票	优待票	yōu dài piào	reduced-price ticket (e.g. for students)
優惠	优惠	yōu huì	privilege/favorable (terms)/preferential (treatment)/discount (price)
優惠券	优惠券	yōu huì quàn	coupon
優惠貸款	优惠贷款	yōu huì dài kuǎn	loan on favorable terms/concessionary loan/soft loan
優於	优于	yōu yú	to surpass
優柔	优柔	yōu róu	gentle/carefree/indecisive/weak
優柔寡斷	优柔寡断	yōu róu guǎ duàn	indecisive/irresolute
優格	优格	yōu gé	yogurt (loanword)
優步	优步	Yōu bù	Uber, app-based taxi company founded in 2009
優渥	优渥	yōu wò	handsome (pay etc)/generous/liberal
優生	优生	yōu shēng	eugenics/outstanding student
優生學	优生学	yōu shēng xué	eugenics
優異	优异	yōu yì	exceptional/outstandingly good
優異獎	优异奖	yōu yì jiǎng	excellence award/merit award
優盤	优盘	yōu pán	USB flash drive/see also 閃存盤|闪存盘[shǎn cún pán]
優秀	优秀	yōu xiù	outstanding/excellent
優等	优等	yōu děng	first-rate/of the highest order/high-class/excellent/superior
優美	优美	yōu měi	graceful/fine/elegant
優良	优良	yōu liáng	fine/good/first-rate
優衣庫	优衣库	Yōu yī kù	Uniqlo, Japanese clothing brand
優裕	优裕	yōu yù	plenty/abundance
優角	优角	yōu jiǎo	reflex angle
優諾牌	优诺牌	Yōu nuò pái	Uno (card game)
優質	优质	yōu zhì	excellent quality
優越	优越	yōu yuè	superior/superiority
優遊	优游	yōu yóu	carefree/leisurely
優遊自得	优游自得	yōu yóu zì dé	free and at leisure (idiom); unfettered
優選	优选	yōu xuǎn	to optimize/preferred
優酪乳	优酪乳	yōu luò rǔ	yogurt (loanword) (Tw)
優酷	优酷	Yōu kù	Youku (website)
優雅	优雅	yōu yǎ	grace/graceful
優點	优点	yōu diǎn	merit/benefit/strong point/advantage/CL:個|个[gè],項|项[xiàng]
全優	全优	quán yōu	overall excellence
兼優	兼优	jiān yōu	an all-rounder/good at everything
創優	创优	chuàng yōu	to strive for excellence
占優	占优	zhàn yōu	to dominate/dominant
名優	名优	míng yōu	excellent quality/outstanding (product)/abbr. for 名牌優質|名牌优质/(old) famous actor or actress
品學兼優	品学兼优	pǐn xué jiān yōu	excelling both in morals and studies (idiom); top marks for studies and for behavior (at school)/a paragon of virtue and learning
女優	女优	nǚ yōu	actress
女士優先	女士优先	nǚ shì yōu xiān	Ladies first!
學而優則仕	学而优则仕	xué ér yōu zé shì	one who is successful in one's studies, can become an official (idiom)
帕累托最優	帕累托最优	Pà lèi tuō zuì yōu	Pareto efficiency (economics)/Pareto optimality
從優	从优	cóng yōu	preferential treatment/most favored terms
最優	最优	zuì yōu	optimal/optimum
最優化	最优化	zuì yōu huà	optimization (math.)
績優股	绩优股	jì yōu gǔ	gilt-edged stock/blue chip stock
聲優	声优	shēng yōu	voice actor (loanword from Japanese 声優 seiyū)
葛優	葛优	Gě Yōu	Ge You (1957-), Chinese actor
葛優躺	葛优躺	Gě Yōu tǎng	see 北京癱|北京瘫[Běi jīng tān]
被優化掉	被优化掉	bèi yōu huà diào	lit. to be optimized away/to be fired/to be the victim of downsizing
詞優效應	词优效应	cí yōu xiào yìng	word superiority effect
資優班	资优班	zī yōu bān	class composed of gifted students (Tw)
資優生	资优生	zī yōu shēng	brilliant student
養尊處優	养尊处优	yǎng zūn chǔ yōu	to live like a prince (idiom)
