兇	凶	xiōng	terrible/fearful
兇器	凶器	xiōng qì	lethal weapon/murder weapon
兇嫌	凶嫌	xiōng xián	alleged killer (or attacker)/suspect in a case of violent crime
兇宅	凶宅	xiōng zhái	inauspicious abode/haunted house
兇悍	凶悍	xiōng hàn	violent/fierce and tough/shrewish (woman)
兇惡	凶恶	xiōng è	fierce/ferocious/fiendish/frightening
兇戾	凶戾	xiōng lì	cruel/tyrannical
兇手	凶手	xiōng shǒu	murderer/assassin
兇死	凶死	xiōng sǐ	to die in violence
兇殘	凶残	xiōng cán	savage/cruel/fierce
兇殺	凶杀	xiōng shā	to murder/assassination
兇殺案	凶杀案	xiōng shā àn	murder case
兇煞	凶煞	xiōng shà	demon/fiend
兇犯	凶犯	xiōng fàn	murderer
兇狂	凶狂	xiōng kuáng	fierce/ferocious/savage
兇狠	凶狠	xiōng hěn	variant of 凶狠[xiōng hěn]
兇猛	凶猛	xiōng měng	fierce/violent/ferocious
兇相	凶相	xiōng xiàng	ferocious appearance
兇相畢露	凶相毕露	xiōng xiàng bì lù	show one's ferocious appearance (idiom); the atrocious features revealed/with fangs bared
兇神	凶神	xiōng shén	demon/fiend
兇神惡煞	凶神恶煞	xiōng shén è shà	fiends (idiom); devils and monsters
兇訊	凶讯	xiōng xùn	evil tidings/bad news
兇身	凶身	xiōng shēn	demon/fiend
兇險	凶险	xiōng xiǎn	dangerous/ruthless/treacherous
兇頑	凶顽	xiōng wán	fierce and uncontrollable
妙探尋兇	妙探寻凶	Miào tàn xún xiōng	Cluedo (board game)
幫兇	帮凶	bāng xiōng	variant of 幫凶|帮凶[bāng xiōng]
惡兇兇	恶凶凶	è xiōng xiōng	fierce
疑兇	疑凶	yí xiōng	suspected of murder/criminal suspect
真兇	真凶	zhēn xiōng	culprit
行兇	行凶	xíng xiōng	violent crime/to commit a violent act (assault or murder)
行兇者	行凶者	xíng xiōng zhě	perpetrator
