內	内	nèi	inside/inner/internal/within/interior
丁內酯	丁内酯	dīng nèi zhǐ	butyrolactone
之內	之内	zhī nèi	inside/within
人民內部矛盾	人民内部矛盾	rén mín nèi bù máo dùn	internal contradiction among the people (pretext for a purge)
以內	以内	yǐ nèi	within/less than
以馬內利	以马内利	yǐ mǎ nèi lì	Emanuel
任內	任内	rèn nèi	period in office
企業內網路	企业内网路	qǐ yè nèi wǎng lù	intranet/company-internal network
光面內質網	光面内质网	guāng miàn nèi zhì wǎng	smooth endoplasmic reticulum
U凸內褲	U凸内裤	U tū nèi kù	contour pouch brief (men's underwear)
內丘	内丘	Nèi qiū	Neiqiu county in Xingtai 邢台[Xíng tái], Hebei
內丘縣	内丘县	Nèi qiū xiàn	Neiqiu county in Xingtai 邢台[Xíng tái], Hebei
內中	内中	nèi zhōng	within it/among them
內丹	内丹	nèi dān	Taoist internal alchemy
內亂	内乱	nèi luàn	internal disorder/civil strife/civil unrest
內人	内人	nèi rén	my wife (humble)
內傷	内伤	nèi shāng	internal injury/disorder of internal organs (due to improper nutrition, overexertion etc)
內兄	内兄	nèi xiōng	wife's older brother
內內	内内	nèi nei	(coll.) panties
內八字腳	内八字脚	nèi bā zì jiǎo	intoeing/pigeon toes/knock-knees
內六角圓柱頭螺釘	内六角圆柱头螺钉	nèi liù jiǎo yuán zhù tóu luó dīng	hexagon socket head cap screw
內六角扳手	内六角扳手	nèi liù jiǎo bān shǒu	Allen key/hex key
內出血	内出血	nèi chū xuè	internal bleeding/internal hemorrhage
內分泌	内分泌	nèi fēn mì	endocrine (internal secretion, e.g. hormone)
內分泌腺	内分泌腺	nèi fēn mì xiàn	endocrine gland/gland producing internal secretion, e.g. hormone
內切	内切	nèi qiē	(math.) to inscribe/internally tangent
內切球	内切球	nèi qiē qiú	inside cut (golf)/(math.) inscribed sphere/insphere
內務	内务	nèi wù	internal affairs/domestic affairs/family affairs/(trad.) affairs within the palace
內務府	内务府	Nèi wù fǔ	Imperial Household Department (in Qing dynasty)
內務部	内务部	Nèi wù bù	Ministry of Internal Affairs
內化	内化	nèi huà	internalization/to internalize
內卡河	内卡河	Nèi kǎ Hé	Neckar River in Germany
內參	内参	nèi cān	restricted document, available only to certain individuals such as high-ranking Party officials (abbr. for 內部參考|内部参考)/(literary) palace eunuch
內向	内向	nèi xiàng	reserved (personality)/introverted/(economics etc) domestic-oriented
內含	内含	nèi hán	to contain/to include
內唇	内唇	nèi chún	epipharynx (entomology)/inner part of the lip
內啡素	内啡素	nèi fēi sù	endorphin
內啡肽	内啡肽	nèi fēi tài	endorphin
內在	内在	nèi zài	inner/internal/intrinsic/innate
內在幾何	内在几何	nèi zài jǐ hé	intrinsic geometry
內在幾何學	内在几何学	nèi zài jǐ hé xué	intrinsic geometry
內在座標	内在坐标	nèi zài zuò biāo	intrinsic coordinates (geometry)
內在美	内在美	nèi zài měi	inner beauty
內在超越	内在超越	nèi zài chāo yuè	inner transcendence (perfection through one's own inner moral cultivation, as in Confucianism, for example)
內地	内地	Nèi dì	mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan)/Japan (used in Taiwan during Japanese colonization)
內地	内地	nèi dì	inland/interior/hinterland
內城	内城	nèi chéng	inner castle/donjon
內埔	内埔	Nèi bù	Neipu township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
內埔鄉	内埔乡	Nèi bù xiāng	Neipu township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
內場	内场	nèi chǎng	inner area (of a place that has an outer area)/the kitchen of a restaurant (as opposed to the dining area)/infield (baseball etc)/(Chinese opera) the area behind the table on the stage
內塔尼亞胡	内塔尼亚胡	Nèi tǎ ní yà hú	Netanyahu (name)/Benjamin Netanyahu (1949-), Israeli Likud politician, prime minister 1996-1999 and from 2009
內外	内外	nèi wài	inside and outside/domestic and foreign/approximately/about
內外兼修	内外兼修	nèi wài jiān xiū	(of a person) beautiful inside and out
內奸	内奸	nèi jiān	undiscovered traitor/enemy within one's own ranks
內存	内存	nèi cún	internal storage/computer memory/random access memory (RAM)
內定	内定	nèi dìng	to select sb for a position without announcing the decision until later/to decide behind closed doors/all cut and dried
內室	内室	nèi shì	inner room/bedroom
內容	内容	nèi róng	content/substance/details/CL:個|个[gè],項|项[xiàng]
內容管理系統	内容管理系统	nèi róng guǎn lǐ xì tǒng	content management system (CMS) (Internet)
內層	内层	nèi céng	internal layer
內布拉斯加	内布拉斯加	Nèi bù lā sī jiā	Nebraska, US state
內布拉斯加州	内布拉斯加州	Nèi bù lā sī jiā zhōu	Nebraska, US state
內幕	内幕	nèi mù	inside story/non-public information/behind the scenes/internal
內幕交易	内幕交易	nèi mù jiāo yì	insider trading/insider dealing
內廷	内廷	nèi tíng	place at the imperial court, where emperor handled government affairs, gave orders etc
內建	内建	nèi jiàn	built-in
內弟	内弟	nèi dì	wife's younger brother
內徑	内径	nèi jìng	internal diameter
內心	内心	nèi xīn	heart/innermost being/(math.) incenter
內心世界	内心世界	nèi xīn shì jiè	(one's) inner world
內心戲	内心戏	nèi xīn xì	psychological drama
內心深處	内心深处	nèi xīn shēn chù	deep in one's heart
內急	内急	nèi jí	to need to answer the call of nature
內情	内情	nèi qíng	inside story/inside information
內憂外困	内忧外困	nèi yōu wài kùn	internal trouble and outside aggression (idiom); in a mess both domestically and abroad
內憂外患	内忧外患	nèi yōu wài huàn	internal trouble and outside aggression (idiom); in a mess both domestically and abroad
內戰	内战	nèi zhàn	civil war
內插	内插	nèi chā	to install (hardware) internally (rather than plugging it in as a peripheral)/(math.) to interpolate/interpolation
內搭褲	内搭裤	nèi dā kù	leggings (Tw)
內政	内政	nèi zhèng	internal affairs (of a country)
內政部	内政部	Nèi zhèng bù	Ministry of the Interior
內政部警政署	内政部警政署	Nèi zhèng bù Jǐng zhèng shǔ	National Police Agency (Tw)
內政部長	内政部长	nèi zhèng bù zhǎng	Minister of the Interior
內斂	内敛	nèi liǎn	introverted/reserved/(artistic style) understated
內斜視	内斜视	nèi xié shì	(medicine) esotropia/cross-eye
內服	内服	nèi fú	to take medicine orally (as opposed to applying externally)
內核	内核	nèi hé	kernel (computer science)
內比都	内比都	Nèi bǐ dū	Naypyidaw or Nay Pyi Taw, capital of Myanmar
內江	内江	Nèi jiāng	Neijiang prefecture level city in Sichuan
內江地區	内江地区	Nèi jiāng dì qū	Neijiang prefecture in Sichuan
內江市	内江市	Nèi jiāng shì	Neijiang prefecture level city in Sichuan
內流	内流	nèi liú	inward flowing (of river)/flowing into desert
內流河	内流河	nèi liú hé	inward flowing river/river flowing into desert or salt lake, e.g. Tarim river 塔里木河
內涵	内涵	nèi hán	meaningful content/implication/connotation (semantics)/inner qualities (of a person)
內涵意義	内涵意义	nèi hán yì yì	(semantics) connotative meaning/connotation
內湖	内湖	Nèi hú	Neihu district of Taipei City 臺北市|台北市[Tái běi shì], Taiwan
內湖區	内湖区	Nèi hú qū	Neihu district of Taipei City 臺北市|台北市[Tái běi shì], Taiwan
內源	内源	nèi yuán	source
內澇	内涝	nèi lào	waterlogged
內熵	内熵	nèi shāng	internal entropy (physics)
內燃	内燃	nèi rán	internal combustion (engine)
內燃機	内燃机	nèi rán jī	internal combustion engine
內燃機車	内燃机车	nèi rán jī chē	automobile
內營力	内营力	nèi yíng lì	internal force/endogenic force
內爆	内爆	nèi bào	to implode
內爆法原子彈	内爆法原子弹	nèi bào fǎ yuán zǐ dàn	implosion atomic bomb
內生的	内生的	nèi shēng de	endogenous
內用	内用	nèi yòng	to eat in (at a restaurant) (Tw)/to take the medicine orally
內田	内田	Nèi tián	Uchida (Japanese surname)
內疚	内疚	nèi jiù	guilty conscience/to feel a twinge of guilt
內皮	内皮	nèi pí	(med.) endothelium/thin skin on the inside of some fruits (e.g. oranges)
內省	内省	nèi xǐng	to reflect upon oneself/introspection
內省性	内省性	nèi xǐng xìng	introversion/introspective
內眷	内眷	nèi juàn	the females in a family/womenfolk
內眼角	内眼角	nèi yǎn jiǎo	inner corner of the eye
內碼	内码	nèi mǎ	internal code
內科	内科	nèi kē	internal medicine/general medicine
內科學	内科学	nèi kē xué	internal medicine
內科醫生	内科医生	nèi kē yī shēng	medical doctor/physician who works primarily by administering drugs, as opposed to surgeon 外科醫生|外科医生[wài kē yī shēng]
內稃	内稃	nèi fū	(botany) palea
內積	内积	nèi jī	inner product/the dot product of two vectors
內窺鏡	内窥镜	nèi kuī jìng	endoscope
內細胞團	内细胞团	nèi xì bāo tuán	inner cell mass (ICM)
內經	内经	Nèi jīng	abbr. for 黃帝內經|黄帝内经[Huáng dì Nèi jīng], The Yellow Emperor's Internal Canon, medical text c. 300 BC
內線交易	内线交易	nèi xiàn jiāo yì	insider trading (illegal share-dealing)
內線消息	内线消息	nèi xiàn xiāo xi	insider information
內置	内置	nèi zhì	built-in/internal
內羅畢	内罗毕	Nèi luó bì	Nairobi, capital of Kenya
內耗	内耗	nèi hào	internal friction/internal dissipation of energy (in mechanics)/fig. waste or discord within an organization
內耳	内耳	nèi ěr	inner ear
內耳道	内耳道	nèi ěr dào	internal auditory meatus (canal in temporal bone of skull housing auditory nerves)
內聯網	内联网	nèi lián wǎng	intranet
