冊	册	cè	book/booklet/classifier for books
冊亨	册亨	Cè hēng	Ceheng county in Qianxinan Buyei and Miao autonomous prefecture 黔西南州[Qián xī nán zhōu], Guizhou
冊亨縣	册亨县	Cè hēng xiàn	Ceheng county in Qianxinan Buyei and Miao autonomous prefecture 黔西南州[Qián xī nán zhōu], Guizhou
冊子	册子	cè zi	a book/a volume
冊封	册封	cè fēng	to confer a title upon sb/to dub/to crown/to invest with rank or title
冊府元龜	册府元龟	Cè fǔ yuán guī	Prime tortoise of the record bureau, Song dynasty historical encyclopedia of political essays, autobiography, memorials and decrees, compiled 1005-1013 under Wang Qinruo 王欽若|王钦若 and Yang Yi 楊億|杨亿, 1000 scrolls
冊歷	册历	cè lì	account book/ledger
冊立	册立	cè lì	to confer a title on (an empress or a prince)
分冊	分册	fēn cè	volume (one of a series)/fascicule
另冊	另册	lìng cè	the Other List (Qing dynasty register of outlaws)/a blacklist of undesirables
史冊	史册	shǐ cè	annals
名冊	名册	míng cè	roll (of names)/register/CL:本[běn]
地圖冊	地图册	dì tú cè	atlas
域名註冊	域名注册	yù míng zhù cè	domain name registration
宣傳冊	宣传册	xuān chuán cè	commercial brochure/advertising pamphlet/flyer
小冊子	小册子	xiǎo cè zi	booklet/pamphlet/leaflet/information sheet/menu/CL:本[běn]
手冊	手册	shǒu cè	manual/handbook
方冊	方册	fāng cè	ancient books and volumes/classical writings
梵冊貝葉	梵册贝叶	fàn cè bèi yè	Sanskrit on Talipot palm leaves (idiom); Buddhist scripture
注冊人	注册人	zhù cè rén	registrant
注冊表	注册表	zhù cè biǎo	Windows registry
清冊	清册	qīng cè	detailed list/inventory
畫冊	画册	huà cè	picture album
相冊	相册	xiàng cè	photo album
簡冊	简册	jiǎn cè	booklet/brochure/(old) book (made of bamboo strips tied together)
簿冊	簿册	bù cè	a register/land register/account book/ledger
練習冊	练习册	liàn xí cè	exercise booklet
股東名冊	股东名册	gǔ dōng míng cè	register of shareholders
表冊	表册	biǎo cè	statistical form/book of tables or forms
記事冊	记事册	jì shì cè	notebook containing a record
註冊	注册	zhù cè	to register/to enroll
註冊商標	注册商标	zhù cè shāng biāo	registered trademark
賬冊	账册	zhàng cè	an account book/a ledger/a bill
集郵冊	集邮册	jí yóu cè	stamp album/CL:本[běn]
點名冊	点名册	diǎn míng cè	register of names/attendance roll book
