剛	刚	gāng	hard/firm/strong/just/barely/exactly
以柔克剛	以柔克刚	yǐ róu kè gāng	to use softness to conquer strength (idiom)
丈二金剛摸不著頭腦	丈二金刚摸不着头脑	zhàng èr Jīn gāng mō bu zháo tóu nǎo	see 丈二和尚，摸不著頭腦|丈二和尚，摸不着头脑[zhàng èr hé shang , mō bu zháo tóu nǎo]
剛一	刚一	gāng yī	to be just about to/to have just started to
剛健	刚健	gāng jiàn	energetic/robust
剛剛	刚刚	gāng gang	just recently/just a moment ago
剛勁	刚劲	gāng jìng	bold/vigorous
剛好	刚好	gāng hǎo	just/exactly/to happen to be
剛察	刚察	Gāng chá	Gangcha county (Tibetan: rkang tsha rdzong) in Haibei Tibetan autonomous prefecture 海北藏族自治州[Hǎi běi Zàng zú zì zhì zhōu], Qinghai
剛察縣	刚察县	Gāng chá xiàn	Gangcha county (Tibetan: rkang tsha rdzong) in Haibei Tibetan autonomous prefecture 海北藏族自治州[Hǎi běi Zàng zú zì zhì zhōu], Qinghai
剛巧	刚巧	gāng qiǎo	by chance/by coincidence/by good luck
剛度	刚度	gāng dù	stiffness
剛強	刚强	gāng qiáng	firm/unyielding
剛性	刚性	gāng xìng	rigidity
剛愎	刚愎	gāng bì	headstrong/perverse
剛愎自用	刚愎自用	gāng bì zì yòng	obstinate and self-opinionated (idiom)
剛才	刚才	gāng cái	just now/a moment ago
剛朵拉	刚朵拉	gāng duǒ lā	see 貢多拉|贡多拉[gòng duō lā]
剛果	刚果	Gāng guǒ	Congo
剛果民主共和國	刚果民主共和国	Gāng guǒ Mín zhǔ Gòng hé guó	Democratic Republic of Congo
剛果河	刚果河	Gāng guǒ Hé	Congo River
剛架	刚架	gāng jià	rigid frame
剛柔並濟	刚柔并济	gāng róu bìng jì	to couple strength and gentleness (idiom)
剛正	刚正	gāng zhèng	honest/upright
剛正不阿	刚正不阿	gāng zhèng bù ē	upright and plainspoken
剛毅	刚毅	gāng yì	resolute/steadfast/stalwart
剛毅木訥	刚毅木讷	gāng yì mù nè	resolute and taciturn (idiom)
剛毛	刚毛	gāng máo	bristle
剛烈	刚烈	gāng liè	resolute and upright in character/unyielding/staunch
剛玉	刚玉	gāng yù	corundum (mineral)
剛直	刚直	gāng zhí	upright and outspoken
剛纔	刚才	gāng cái	(just) a moment ago
剛體	刚体	gāng tǐ	rigid body
剛體轉動	刚体转动	gāng tǐ zhuǎn dòng	rigid rotation
吳永剛	吴永刚	Wú Yǒng gāng	Wu Yonggang (1907-1982), Chinese film director
外剛內柔	外刚内柔	wài gāng nèi róu	soft on the inside despite one's hard shell/appearing tough on the outside as to mask one's inner vulnerability/also written 內柔外剛|内柔外刚[nèi róu wài gāng]
天剛亮	天刚亮	tiān gāng liàng	daybreak
曹剛川	曹刚川	Cáo Gāng chuān	Cao Gangchuan (1935-), former artillery officer, senior PRC politician and army leader
柔能克剛	柔能克刚	róu néng kè gāng	lit. the soft can subdue the hard
翟志剛	翟志刚	Zhái Zhì gāng	Zhai Zhigang (1966-), Chinese astronaut
血氣方剛	血气方刚	xuè qì fāng gāng	full of sap (idiom); young and vigorous
變形金剛	变形金刚	Biàn xíng jīn gāng	Transformers (franchise)
金剛	金刚	Jīn gāng	King Kong
金剛	金刚	jīn gāng	diamond/(used to translate Sanskrit "vajra", a thunderbolt or mythical weapon)/guardian deity (in Buddhist iconography)
金剛山	金刚山	Jīn gāng shān	Kumgangsan Tourist Region in east North Korea
金剛座	金刚座	jīn gāng zuò	Bodhimanda (place of enlightenment associated with a Bodhisattva)
金剛怒目	金刚怒目	jīn gāng nù mù	to have a face as terrifying as a temple's guardian deity (idiom)
金剛手菩薩	金刚手菩萨	Jīn gāng shǒu Pú sà	Vajrapani Bodhisattva
金剛杵	金刚杵	jīn gāng chǔ	vajra scepter (ritual object of Buddhism)
金剛狼	金刚狼	Jīn gāng láng	Wolverine, comic book superhero
金剛石	金刚石	jīn gāng shí	diamond/also called 鑽石|钻石[zuàn shí]
金剛砂	金刚砂	jīn gāng shā	carborundum/emery
金剛總持	金刚总持	Jīn gāng zǒng chí	Vajradhara
金剛薩埵	金刚萨埵	Jīn gāng sà duǒ	Vajrasattva
金剛鸚鵡	金刚鹦鹉	jīn gāng yīng wǔ	macaw
陽剛	阳刚	yáng gāng	manly/masculine
