噸	吨	dūn	ton (loanword)/Taiwan pr. [dùn]
千噸	千吨	qiān dūn	kiloton
千噸級核武器	千吨级核武器	qiān dūn jí hé wǔ qì	kiloton weapon
呫噸	呫吨	zhān dūn	xanthene (chemistry)
呫噸酮	呫吨酮	zhān dūn tóng	xanthone (chemistry)
公噸	公吨	gōng dūn	ton/metric ton
噸位	吨位	dūn wèi	tonnage
噸公里	吨公里	dūn gōng lǐ	ton-kilometer (unit of capacity of transport system)
噸數	吨数	dūn shù	tonnage
噸級	吨级	dūn jí	tonnage/class in tons (of a passenger ship)
囒噸	囒吨	Lán dūn	old form of London, capital of United Kingdom/now written 倫敦|伦敦
普林斯噸	普林斯吨	Pǔ lín sī dūn	Princeton, New Jersey
普林斯噸大學	普林斯吨大学	Pǔ lín sī dūn Dà xué	Princeton University
百萬噸	百万吨	bǎi wàn dūn	megaton/million tons
百萬噸級核武器	百万吨级核武器	bǎi wàn dūn jí hé wǔ qì	megaton weapon
等效百萬噸當量	等效百万吨当量	děng xiào bǎi wàn dūn dāng liàng	equivalent megatonnage (EMT)
總噸位	总吨位	zǒng dūn wèi	overall tonnage (of a shipping fleet or company)
英噸	英吨	Yīng dūn	tonne/imperial or US tonne, equal to 2240 pounds or 1.016 metric tons
重量噸	重量吨	zhòng liàng dūn	dead weight ton
