喚	唤	huàn	to call
傳喚	传唤	chuán huàn	a summons (to the police)/subpoena
前生召喚	前生召唤	qián shēng zhào huàn	foreordination
叫喚	叫唤	jiào huan	to cry out/to bark out a sound
召喚	召唤	zhào huàn	to summon/to beckon/to call
呼喚	呼唤	hū huàn	to call out (a name etc)/to shout
呼風喚雨	呼风唤雨	hū fēng huàn yǔ	to call the wind and summon the rain (idiom); to exercise magical powers/fig. to stir up troubles
使喚	使唤	shǐ huàn	to order sb about/to use sb
喚作	唤作	huàn zuò	to be called/to be known as
喚做	唤做	huàn zuò	to be called/to be referred to as
喚起	唤起	huàn qǐ	to waken (to action)/to rouse (the masses)/to evoke (attention, recollection etc)
喚醒	唤醒	huàn xǐng	to wake sb/to rouse
喚雨呼風	唤雨呼风	huàn yǔ hū fēng	to call the wind and summon the rain (idiom)/to exercise magical powers/fig. to stir up troubles/also 呼風喚雨|呼风唤雨[hū fēng huàn yǔ]
喚頭	唤头	huàn tou	percussion instrument used by street peddlers, barbers etc to attract attention
招喚	招唤	zhāo huàn	to call/to summon
