嘆	叹	tàn	to sigh/to exclaim
付之一嘆	付之一叹	fù zhī yī tàn	to dismiss with a sigh (idiom); a hopeless case
令人嘆	令人叹	lìng rén tàn	to astonish
仰屋興嘆	仰屋兴叹	yǎng wū xīng tàn	to stare at the ceiling in despair/to find no way out/nothing you can do about it/at the end of one's wits
可嘆	可叹	kě tàn	lamentable/sad(ly)
哀嘆	哀叹	āi tàn	to sigh/to lament/to bewail
唉聲嘆氣	唉声叹气	āi shēng tàn qì	sighing voice, wailing breath (idiom)/to heave deep sighs/to sigh in despair
一唱三嘆	一唱三叹	yī chàng sān tàn	see 一倡三歎|一倡三叹[yī chàng sān tàn]
嘆息	叹息	tàn xī	to sigh/to gasp (in admiration)
嘆惜	叹惜	tàn xī	sigh of regret
嘆服	叹服	tàn fú	(to gasp) with admiration
嘆氣	叹气	tàn qì	to sigh/to heave a sigh
嘆為觀止	叹为观止	tàn wéi guān zhǐ	(idiom) to gasp in amazement/to acclaim as the peak of perfection
嘆詞	叹词	tàn cí	interjection/exclamation
嘆賞	叹赏	tàn shǎng	to admire/to express admiration
悲嘆	悲叹	bēi tàn	to bewail/to sigh mournfully/to lament
感嘆	感叹	gǎn tàn	to sigh (with feeling)/to lament
感嘆句	感叹句	gǎn tàn jù	exclamation/exclamatory phrase
感嘆號	感叹号	gǎn tàn hào	exclamation mark ! (punct.)
感嘆詞	感叹词	gǎn tàn cí	interjection (part of speech)/exclamation
感嘆語	感叹语	gǎn tàn yǔ	exclamation/expletive
慨嘆	慨叹	kǎi tàn	to sigh with regret/lament
望洋興嘆	望洋兴叹	wàng yáng xīng tàn	lit. to gaze at the ocean and lament one's inadequacy (idiom)/fig. to feel powerless and incompetent (to perform a task)
望而興嘆	望而兴叹	wàng ér xīng tàn	to look and sigh/to feel helpless/not knowing what to do
自嘆不如	自叹不如	zì tàn bù rú	to consider oneself as being not as good as the others
芝焚蕙嘆	芝焚蕙叹	zhī fén huì tàn	lit. when one grass burns the other grass sighs (idiom); fig. to have sympathy with a like-minded person in distress
詠嘆調	咏叹调	yǒng tàn diào	aria
讚嘆	赞叹	zàn tàn	to exclaim in admiration
贊嘆不已	赞叹不已	zàn tàn bù yǐ	to be full of praise (idiom)
長吁短嘆	长吁短叹	cháng xū duǎn tàn	long moan and short gasp (idiom); continually moaning and groaning in pain
長嘆	长叹	cháng tàn	long sigh/deep sigh
驚嘆	惊叹	jīng tàn	to exclaim in admiration/a gasp of surprise
驚嘆不已	惊叹不已	jīng tàn bù yǐ	to exclaim in astonishment
驚嘆號	惊叹号	jīng tàn hào	exclamation mark ! (punct.)
默嘆	默叹	mò tàn	to admire inwardly
