嘰	叽	jī	grumble
咔嘰	咔叽	kǎ jī	khaki (loanword)
嗶嘰	哔叽	bì jī	serge (loanword)
不拉嘰	不拉叽	bù lā jī	(nasty, stupid etc) as can be
嘰咋柳鶯	叽咋柳莺	jī zǎ liǔ yīng	(bird species of China) common chiffchaff (Phylloscopus collybita)
嘰哩咕嚕	叽哩咕噜	jī li gū lū	(onom.) to jabber/to rumble
嘰嘰喳喳	叽叽喳喳	jī jī zhā zhā	(onom.) chirp/twitter/buzzing/to chatter continuously
嘰嘰嘎嘎	叽叽嘎嘎	jī jī gá gá	(onom.) giggling noise
嘰里咕嚕	叽里咕噜	jī li gū lū	see 嘰哩咕嚕|叽哩咕噜[jī li gū lū]
東方嘰咋柳鶯	东方叽咋柳莺	dōng fāng jī zǎ liǔ yīng	(bird species of China) mountain chiffchaff (Phylloscopus sindianus)
毛嗶嘰	毛哔叽	máo bì jī	serge
磨嘰	磨叽	mò ji	(dialect) to dawdle/to waste time/also written 墨跡|墨迹[mò ji]
