嚕	噜	lū	grumble/chatter
呼嚕	呼噜	hū lu	(onom.) snoring/Taiwan pr. [hū lū]
呼嚕嚕	呼噜噜	hū lū lū	(onom.) to snore/wheezing
咕嚕	咕噜	gū lu	(onom.) to rumble (of a stomach)/to coo (of a dove)/rumbling/noisy drinking sound
咕嚕肉	咕噜肉	gū lū ròu	sweet and sour meat (pork)
嘟嚕	嘟噜	dū lu	bunch/cluster/classifier for bunched objects/to hang down in a bunch/to droop
嘰哩咕嚕	叽哩咕噜	jī li gū lū	(onom.) to jabber/to rumble
嘰里咕嚕	叽里咕噜	jī li gū lū	see 嘰哩咕嚕|叽哩咕噜[jī li gū lū]
呼嚕	呼噜	hū lū	(onom.) wheezing
嚕囌	噜苏	lū sū	see 囉嗦|啰嗦[luō suo]
打呼嚕	打呼噜	dǎ hū lu	to snore
滴里嘟嚕	滴里嘟噜	dī lǐ dū lu	cumbersome
達嚕噶齊	达噜噶齐	dá lū gá qí	Mongolian daruqachi, local commander in Mongol and Yuan times
