堅	坚	jiān	strong/solid/firm/unyielding/resolute
乘堅策肥	乘坚策肥	chéng jiān cè féi	to live in luxury/lit. to ride a solid carriage pulled by fat horses
中堅	中坚	zhōng jiān	core/nucleus/backbone
堅不可摧	坚不可摧	jiān bù kě cuī	invulnerable, indestructible, impregnable
堅信	坚信	jiān xìn	to believe firmly/without any doubt
堅信禮	坚信礼	jiān xìn lǐ	confirmation (Christian ceremony)
堅冰	坚冰	jiān bīng	ice/(fig.) frosty relationship
堅固	坚固	jiān gù	firm/firmly/hard/stable
堅固性	坚固性	jiān gù xìng	firmness
堅執	坚执	jiān zhí	to persist/to continue upholding/to persevere/to stick to sth/stubborn
堅壁	坚壁	jiān bì	to cache/to hide supplies (from the enemy)
堅壁清野	坚壁清野	jiān bì qīng yě	to fortify defenses and raze the fields (idiom); to leave nothing for the invader/scorched earth policy
堅如磐石	坚如磐石	jiān rú pán shí	solid as a boulder (idiom); absolutely secure/rock-firm and unyielding
堅守	坚守	jiān shǒu	to hold fast to/to stick to
堅定	坚定	jiān dìng	firm/steady/staunch/resolute
堅定不移	坚定不移	jiān dìng bù yí	unswerving/unflinching
堅定性	坚定性	jiān dìng xìng	firmness/steadfastness
堅實	坚实	jiān shí	firm and substantial/solid
堅尼係數	坚尼系数	Jiān ní xì shù	see 基尼係數|基尼系数[Jī ní xì shù]
堅強	坚强	jiān qiáng	staunch/strong
堅強不屈	坚强不屈	jiān qiáng bù qū	staunch and unyielding (idiom); steadfast
堅忍	坚忍	jiān rěn	persevering
堅忍不拔	坚忍不拔	jiān rěn bù bá	fortitude
堅戈	坚戈	jiān gē	tenge (Kazakhstan currency) (loanword)
堅持	坚持	jiān chí	to persevere with/to persist in/to insist on
堅持下去	坚持下去	jiān chí xià qù	to press on
堅持不懈	坚持不懈	jiān chí bù xiè	to persevere unremittingly (idiom); to keep going until the end
堅持不渝	坚持不渝	jiān chí bù yú	to stick to sth without change (idiom); to persevere
堅振	坚振	jiān zhèn	confirmation (Christian ceremony)
堅振禮	坚振礼	jiān zhèn lǐ	confirmation (Christian ceremony)
堅挺	坚挺	jiān tǐng	firm and upright/strong (of currency)
堅明	坚明	jiān míng	to consolidate and clarify
堅果	坚果	jiān guǒ	nut
堅毅	坚毅	jiān yì	firm and persistent/unswerving determination
堅決	坚决	jiān jué	firm/resolute/determined
堅牢	坚牢	jiān láo	strong/firm
堅硬	坚硬	jiān yìng	hard/solid
堅稱	坚称	jiān chēng	to claim/to insist
堅緻	坚致	jiān zhì	robust and fine textured
堅苦卓絕	坚苦卓绝	jiān kǔ zhuó jué	persisting despite trials and tribulations (idiom); conspicuous determination
堅貞	坚贞	jiān zhēn	firm/unswerving/loyal to the end
堅貞不屈	坚贞不屈	jiān zhēn bù qū	faithful and unchanging (idiom); steadfast
堅貞不渝	坚贞不渝	jiān zhēn bù yú	unyielding integrity (idiom); unwavering
堅韌	坚韧	jiān rèn	tough and durable/tenacious
堅韌不拔	坚韧不拔	jiān rèn bù bá	firm and indomitable (idiom); tenacious and unyielding
孫堅	孙坚	Sūn Jiān	Sun Jian (155-191), famous general at end of Han dynasty, forerunner of the southern kingdom of Wu of the Three Kingdoms
情比金堅	情比金坚	qíng bǐ jīn jiān	love is more solid than gold (idiom)
攻堅	攻坚	gōng jiān	to assault a fortified position/(fig.) to concentrate one's efforts on a particularly difficult part of one's mission
攻堅克難	攻坚克难	gōng jiān kè nán	to tackle a thorny problem and overcome its challenges
楊堅	杨坚	Yáng Jiān	first Sui emperor Yang Jian (541-604), reigned 581-604
歷久彌堅	历久弥坚	lì jiǔ mí jiān	to become more resolute with the passing of time (idiom)
比堅尼	比坚尼	bǐ jiān ní	see 比基尼[bǐ jī ní]
澳洲堅果	澳洲坚果	Ào zhōu jiān guǒ	macadamia nut
無堅不摧	无坚不摧	wú jiān bù cuī	no stronghold one cannot overcome (idiom); to conquer every obstacle/nothing one can't do/to carry everything before one
窮當益堅	穷当益坚	qióng dāng yì jiān	poor but ambitious (idiom); hard-pressed but determined/the worse one's position, the harder one must fight back
美利堅	美利坚	Měi lì jiān	America
美利堅合眾國	美利坚合众国	Měi lì jiān Hé zhòng guó	United States of America
美利堅治世	美利坚治世	Měi lì jiān Zhì shì	Pax Americana
苻堅	苻坚	Fú Jiān	Fu Jian (338-385), emperor of Former Qin 前秦[Qián Qín], reigning from 357-385
鑽堅仰高	钻坚仰高	zuān jiān yǎng gāo	lit. looking up to it, it gets higher; boring into it, it gets harder (idiom) (from Analects)/fig. to delve deeply into one's studies/meticulous and diligent study
隋文帝楊堅	隋文帝杨坚	Suí Wén dì Yáng jiān	first Sui emperor (541-604) Yang Jian (541-604), reigned 581-604
黃庭堅	黄庭坚	Huáng Tíng jiān	Huang Tingjian (1045-1105), Song poet and calligrapher
