壩	坝	bà	dam/dike/embankment/CL:條|条[tiáo]
元壩	元坝	Yuán bà	Yuanba district of Guangyuan city 廣元市|广元市[Guǎng yuán shì], Sichuan
元壩區	元坝区	Yuán bà qū	Yuanba district of Guangyuan city 廣元市|广元市[Guǎng yuán shì], Sichuan
冰壩	冰坝	bīng bà	freezing blockage/dam of ice on river
向家壩	向家坝	Xiàng jiā bà	Xiangjiaba Dam, Yunnan, site of a hydropower station
土壩	土坝	tǔ bà	earth dam/dam of earth and rocks (as opposed to waterproof dam of clay or concrete)
堤壩	堤坝	dī bà	dam/dike
三峽大壩	三峡大坝	Sān xiá Dà bà	Three Gorges Dam on the Yangtze River
大壩	大坝	dà bà	dam
妥壩	妥坝	Tuǒ bà	former county from 1983 in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet/replaced by Qamdo, Zhag'yab and Jomdo counties in 1999
妥壩縣	妥坝县	Tuǒ bà xiàn	former county from 1983 in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet/divided into Qamdo, Zhag'yab and Jomdo counties in 1999
平壩	平坝	Píng bà	Pingba county in Anshun 安順|安顺[Ān shùn], Guizhou
平壩縣	平坝县	Píng bà xiàn	Pingba county in Anshun 安順|安顺[Ān shùn], Guizhou
拱壩	拱坝	gǒng bà	an arch dam
攔河壩	拦河坝	lán hé bà	a dam across a river
水壩	水坝	shuǐ bà	dam/dike
沙坪壩	沙坪坝	Shā píng bà	Shapingba district of central Chongqing municipality, formerly in Sichuan
沙坪壩區	沙坪坝区	Shā píng bà qū	Shapingba district of central Chongqing municipality, formerly in Sichuan
沙壩	沙坝	shā bà	a sandbank/a sand bar
潰壩	溃坝	kuì bà	dam burst/collapse of dam
留壩	留坝	Liú bà	Liuba County in Hanzhong 漢中|汉中[Hàn zhōng], Shaanxi
留壩縣	留坝县	Liú bà Xiàn	Liuba County in Hanzhong 漢中|汉中[Hàn zhōng], Shaanxi
紫坪鋪大壩	紫坪铺大坝	Zǐ píng pū dà bà	Zipingpu reservoir, Sichuan
綠壩	绿坝	Lǜ bà	Green Dam, content-control software (abbr. for 綠壩·花季護航|绿坝·花季护航[Lǜ bà · huā jì hù háng])
綠壩·花季護航	绿坝·花季护航	Lǜ bà · huā jì hù háng	Green Dam Youth Escort, Internet content-control software (abbreviated to 綠壩|绿坝[Lǜ bà])
葛洲壩	葛洲坝	Gé zhōu bà	name of a place, Gezhouba Dam on the Changjiang River, in Sichuan
邊壩	边坝	Biān bà	Banbar county, Tibetan: Dpal 'bar rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
邊壩縣	边坝县	Biān bà xiàn	Banbar county, Tibetan: Dpal 'bar rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
阿壩	阿坝	Ā bà	Ngawa Tibetan and Qiang autonomous prefecture (Tibetan: rnga ba bod rigs cha'ng rigs rang skyong khul, formerly in Kham province of Tibet), northwest Sichuan, capital Barkam 馬爾康鎮|马尔康镇[Mǎ ěr kāng zhèn]/also Ngawa county
阿壩州	阿坝州	Ā bà zhōu	Ngawa Tibetan and Qiang autonomous prefecture (Tibetan: rnga ba bod rigs cha'ng rigs rang skyong khul, formerly in Kham province of Tibet), northwest Sichuan, capital Barkam 馬爾康鎮|马尔康镇[Mǎ ěr kāng zhèn]
阿壩縣	阿坝县	Ā bà xiàn	Ngawa county (Tibetan: rnga ba rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
阿壩藏族羌族自治州	阿坝藏族羌族自治州	Ā bà Zàng zú Qiāng zú zì zhì zhōu	Ngawa Tibetan and Qiang autonomous prefecture (Tibetan: rnga ba bod rigs cha'ng rigs rang skyong khul, formerly in Kham province of Tibet), northwest Sichuan, capital Barkam 馬爾康鎮|马尔康镇[Mǎ ěr kāng zhèn]
阿斯旺高壩	阿斯旺高坝	Ā sī wàng gāo bà	the Aswan dam in south Egypt
院壩	院坝	yuàn bà	(dialect) courtyard
