墾	垦	kěn	to reclaim (land)/to cultivate
圍墾	围垦	wéi kěn	to reclaim land by diking
墾丁	垦丁	Kěn dīng	Kenting, a national park on the southern tip of Taiwan, popular as a tourist destination (abbr. for 墾丁國家公園|垦丁国家公园[Kěn dīng Guó jiā Gōng yuán])
墾丁國家公園	垦丁国家公园	Kěn dīng Guó jiā Gōng yuán	Kenting National Park on the Hengchun Peninsula 恆春半島|恒春半岛[Héng chūn Bàn dǎo], Pingtung county, south Taiwan
墾利	垦利	Kěn lì	Kenli county in Dongying 東營|东营[Dōng yíng], Shandong
墾利縣	垦利县	Kěn lì xiàn	Kenli county in Dongying 東營|东营[Dōng yíng], Shandong
墾殖	垦殖	kěn zhí	to open up land for cultivation
墾耕	垦耕	kěn gēng	to bring under cultivation (scrubland, marshland etc)
墾荒	垦荒	kěn huāng	to open up land (for agriculture)
屯墾	屯垦	tún kěn	to open up land for cultivation/to garrison troops to open up land
海塗圍墾	海涂围垦	hǎi tú wéi kěn	tideland reclamation
開墾	开垦	kāi kěn	to clear a wild area for cultivation/to put under the plow
