塘	塘	táng	dyke/embankment/pool or pond/hot-water bathing pool
北塘區	北塘区	Běi táng qū	Beitang district of Wuxi city 無錫市|无锡市[Wú xī shì], Jiangsu
北塘	北塘	Běi táng	Beitang district of Wuxi city 無錫市|无锡市[Wú xī shì], Jiangsu
塘堰	塘堰	táng yàn	irrigation pond or dam
塘沽	塘沽	Táng gū	Tanggu former district of Tianjin, now part of Binhai subprovincial district 濱海新區|滨海新区[Bīn hǎi xīn qū]
塘沽區	塘沽区	Táng gū qū	Tanggu former district of Tianjin, now part of Binhai subprovincial district 濱海新區|滨海新区[Bīn hǎi xīn qū]
塘虱	塘虱	táng shī	catfish (family Clariidae)
塘鵝	塘鹅	táng é	pelican (Morus bassanus)/gannet/booby
壤塘	壤塘	Rǎng táng	Zamtang county (Tibetan: 'dzam thang rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
壤塘縣	壤塘县	Rǎng táng xiàn	Zamtang county (Tibetan: 'dzam thang rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
嶽塘	岳塘	Yuè táng	Yuetan district of Xiangtan city 湘潭市[Xiāng tán shì], Hunan
嶽塘區	岳塘区	Yuè táng qū	Yuetan district of Xiangtan city 湘潭市[Xiāng tán shì], Hunan
巴塘	巴塘	Bā táng	Batang county (Tibetan: 'ba' thang rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
巴塘縣	巴塘县	Bā táng xiàn	Batang county (Tibetan: 'ba' thang rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
平塘	平塘	Píng táng	Pingtang county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
平塘縣	平塘县	Píng táng xiàn	Pingtang county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
建塘鎮	建塘镇	Jiàn táng zhèn	Jiantang, capital of Dêqên or Diqing Tibetan autonomous prefecture 迪慶藏族自治州|迪庆藏族自治州[Dí qìng Zàng zú zì zhì zhōu], northwest Yunnan
新塘	新塘	Xīn táng	Xintang, common town or village name/Xintang village in Guangdong province
水塘	水塘	shuǐ táng	pool
池塘	池塘	chí táng	pool/pond
澡塘	澡塘	zǎo táng	communal bath/common pool in bath house
火塘	火塘	huǒ táng	indoor fire pit
理塘	理塘	Lǐ táng	Litang county (Tibetan: li thang rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
理塘縣	理塘县	Lǐ táng xiàn	Litang county (Tibetan: li thang rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
瞿塘峽	瞿塘峡	Qú táng Xiá	Qutang Gorge, 8 km long gorge on the Changjiang or Yangtze in Chongqing 重慶|重庆[Chóng qìng], the upper of the Three Gorges 三峽|三峡[Sān Xiá]
穩定塘	稳定塘	wěn dìng táng	waste stabilization pond
竹塘	竹塘	Zhú táng	Chutang or Zhutang township in Changhua county 彰化縣|彰化县[Zhāng huà xiàn], Taiwan
竹塘鄉	竹塘乡	Zhú táng xiāng	Chutang or Zhutang township in Changhua county 彰化縣|彰化县[Zhāng huà xiàn], Taiwan
荷塘區	荷塘区	Hé táng qū	Hetang district of Zhuzhou city 株洲市, Hunan
蘅塘退士	蘅塘退士	Héng táng Tuì shì	assumed name of Sun Zhu 孫誅|孙诛[Sūn Zhū] (1711-1778), poet and compiler of Three Hundred Tang Poems 唐詩三百首|唐诗三百首[Táng shī Sān bǎi Shǒu]
西鄉塘	西乡塘	Xī xiāng táng	Xixiangtang District of Nanning City 南寧市|南宁市[Nán níng Shì], Guangxi
西鄉塘區	西乡塘区	Xī xiāng táng Qū	Xixiangtang District of Nanning City 南寧市|南宁市[Nán níng Shì], Guangxi
覃塘	覃塘	Tán táng	Tantang district of Guigang city 貴港市|贵港市[Guì gǎng shì], Guangxi
覃塘區	覃塘区	Tán táng qū	Tantang district of Guigang city 貴港市|贵港市[Guì gǎng shì], Guangxi
觀塘	观塘	Guàn táng	Kwun Tong district of Kowloon, Hong Kong
錢塘	钱塘	Qián táng	Qiantang River that loops around Hangzhou 杭州[Háng zhōu] in Zhejiang Province 浙江省[Zhè jiāng Shěng]
錢塘江	钱塘江	Qián táng Jiāng	Qiantang River that loops around Hangzhou 杭州[Háng zhōu] in Zhejiang Province 浙江省[Zhè jiāng Shěng]
錢塘潮	钱塘潮	Qián táng cháo	tidal bore of Qiantang river
陂塘	陂塘	bēi táng	pool/pond
