壇	坛	tán	platform/rostrum/altar
劇壇	剧坛	jù tán	the world of Chinese opera/theatrical circles
博鰲亞洲論壇	博鳌亚洲论坛	Bó áo Yà zhōu Lùn tán	Bo'ao Forum for Asia (since 2001)
國際先驅論壇報	国际先驱论坛报	Guó jì Xiān qū Lùn tán Bào	International Herald Tribune
地壇	地坛	Dì tán	Temple of Earth (in Beijing)
世界經濟論壇	世界经济论坛	Shì jiè Jīng jì Lùn tán	World Economic Forum
天壇	天坛	Tiān tán	Temple of Heaven (in Beijing)
天壇座	天坛座	Tiān tán zuò	Ara (constellation)
影壇	影坛	yǐng tán	moviedom/the world of movies/film circles
戒壇	戒坛	jiè tán	ordination platform in a Buddhist temple
政壇	政坛	zhèng tán	political circles
文壇	文坛	wén tán	literary circles
書壇	书坛	shū tán	the calligraphic community
棒壇	棒坛	bàng tán	baseball circles/baseball world
樂壇	乐坛	yuè tán	music circles/music world
歌壇	歌坛	gē tán	singing stage/music business (esp. pop music)
武壇	武坛	wǔ tán	martial arts circles
畫壇	画坛	huà tán	painting world/painting circles
祭壇	祭坛	jì tán	altar
花壇	花坛	Huā tán	Huatan township in Changhua county 彰化縣|彰化县[Zhāng huà xiàn], Taiwan
花壇	花坛	huā tán	decorative mass planting of flowers and shrubs, often bounded by a low masonry border, and often part of a streetscape
花壇鄉	花坛乡	Huā tán xiāng	Huatan township in Changhua county 彰化縣|彰化县[Zhāng huà xiàn], Taiwan
藝壇	艺坛	yì tán	art circles/art world
詩壇	诗坛	shī tán	poetry circles/poetry world
論壇	论坛	lùn tán	forum (for discussion)
論壇報	论坛报	Lùn tán Bào	Tribune (in newspaper names)
講壇	讲坛	jiǎng tán	a platform (to speak)
趙玄壇	赵玄坛	Zhào Xuán tán	Zhao Xuantan, God of Wealth in the Chinese folk tradition and Taoism
足壇	足坛	zú tán	soccer circles/soccer world
達沃斯論壇	达沃斯论坛	Dá wò sī lùn tán	Davos world economic forum (WEF)
金壇	金坛	Jīn tán	Jintan county level city in Changzhou 常州[Cháng zhōu], Jiangsu
金壇市	金坛市	Jīn tán shì	Jintan county level city in Changzhou 常州[Cháng zhōu], Jiangsu
銀壇	银坛	yín tán	moviedom/the world of movies/film circles
體壇	体坛	tǐ tán	sporting circles/the world of sport
