壺	壶	hú	pot/classifier for bottled liquid
冰壺	冰壶	bīng hú	jade pot for cold water/curling (sport)/curling puck
冰壺秋月	冰壶秋月	bīng hú qiū yuè	jade ice jug and autumn moon (idiom, from poem by Song writer Su Dongpo 蘇東坡|苏东坡); fig. spotless white and pure/flawless person
咖啡壺	咖啡壶	kā fēi hú	coffee pot/coffee maker
哪壺不開提哪壺	哪壶不开提哪壶	nǎ hú bù kāi tí nǎ hú	lit. mention the pot that doesn't boil (idiom); to touch a sore spot/to talk about sb's weak point
噴壺	喷壶	pēn hú	spray bottle
噴水壺	喷水壶	pēn shuǐ hú	watering can/sprinkling can
便壺	便壶	biàn hú	bed urinal/chamber pot
壺鈴	壶铃	hú líng	kettlebell, girya
壺關	壶关	Hú guān	Huguan county in Changzhi 長治|长治[Cháng zhì], Shanxi
壺關縣	壶关县	Hú guān xiàn	Huguan county in Changzhi 長治|长治[Cháng zhì], Shanxi
夜壺	夜壶	yè hú	chamber pot
快煮壺	快煮壶	kuài zhǔ hú	electric kettle (Tw)
懸壺	悬壶	xuán hú	(literary) to practice medicine/to work as a pharmacist
懸壺濟世	悬壶济世	xuán hú jì shì	practice medicine or pharmacy to help the people or public
投壺	投壶	tóu hú	ancient banquet game of throwing arrows into a pot, the winner determined by the number of arrows thrown in, and the loser required to drink as punishment
提壺	提壶	tí hú	pelican/same as 鵜鶘|鹈鹕
提壺蘆	提壶芦	tí hú lú	pelican/same as 鵜鶘|鹈鹕
暖壺	暖壶	nuǎn hú	vacuum flask/thermos flask
水壺	水壶	shuǐ hú	kettle/canteen/watering can
法壓壺	法压壶	Fǎ yā hú	French press/press pot
滲濾壺	渗滤壶	shèn lǜ hú	coffee percolator
滷壺	卤壶	lǔ hú	a ceramic teapot
漏壺	漏壶	lòu hú	water clock/clepsydra
濾壓壺	滤压壶	lǜ yā hú	French press/press pot
燒水壺	烧水壶	shāo shuǐ hú	kettle
硯水壺兒	砚水壶儿	yàn shuǐ hú r5	water container for an ink slab
簞食壺漿	箪食壶浆	dān shí hú jiāng	to receive troops with food and drink (idiom)/to give troops a hearty welcome/also pr. [dān sì hú jiāng]
茶壺	茶壶	chá hú	teapot/CL:把[bǎ]
蓬壺	蓬壶	Péng hú	fabled island in Eastern sea, abode of immortals/same as Penglai 蓬萊|蓬莱
酒壺	酒壶	jiǔ hú	wine pot/wine cup
開壺	开壶	kāi hú	pot of boiling water
開水壺	开水壶	kāi shuǐ hú	kettle
電熱壺	电热壶	diàn rè hú	electric kettle
鼻煙壺	鼻烟壶	bí yān hú	snuff bottle
