姦	奸	jiān	to fornicate/to defile/adultery/rape
作姦犯科	作奸犯科	zuò jiān fàn kē	to flout the law
大姦似忠	大奸似忠	dà jiān sì zhōng	the most treacherous person appears the most guileless (idiom)
㚻姦	㚻奸	jī jiān	variant of 雞奸|鸡奸[jī jiān]
姦夫淫婦	奸夫淫妇	jiān fū yín fù	adulterous couple
姦宿	奸宿	jiān sù	to fornicate/to rape
姦屍	奸尸	jiān shī	necrophilia
姦情	奸情	jiān qíng	adultery
姦殺	奸杀	jiān shā	to rape and murder
姦污	奸污	jiān wū	to rape/to violate
姦淫	奸淫	jiān yín	fornication/adultery/rape/seduction
姦雄	奸雄	jiān xióng	person who seeks advancement by any means/career climber/unscrupulous careerist
強姦	强奸	qiáng jiān	to rape
強姦犯	强奸犯	qiáng jiān fàn	rapist
強姦罪	强奸罪	qiáng jiān zuì	rape
抓姦	抓奸	zhuā jiān	to catch a couple in the act (adultery, illicit sexual relations)
捉姦	捉奸	zhuō jiān	to catch a couple in the act (adultery, illicit sexual relations)
無事獻殷勤，非姦即盜	无事献殷勤，非奸即盗	wú shì xiàn yīn qín , fēi jiān jí dào	one who is unaccountably solicitous is hiding evil intentions (idiom)
獸姦	兽奸	shòu jiān	bestiality
誘姦	诱奸	yòu jiān	to seduce (into sex)
輪姦	轮奸	lún jiān	to gang rape
迷姦	迷奸	mí jiān	to drug and then rape sb
通姦	通奸	tōng jiān	adultery/to commit adultery
逼姦	逼奸	bī jiān	to rape
集體強姦	集体强奸	jí tǐ qiáng jiān	gang rape
