婭	娅	yà	address term between sons-in-law
妮維婭	妮维娅	Nī wéi yà	Nivea, skin and body care brand
尤利婭·季莫申科	尤利娅·季莫申科	Yóu lì yà · Jì mò shēn kē	Yulia Tymoshenko (1960-), Ukrainian politician
拉尼婭	拉尼娅	lā ní yà	Rania (name)
朱利婭	朱利娅	Zhū lì yà	Julia (name)
朱莉婭	朱莉娅	Zhū lì yà	Julia (name)
熱比婭	热比娅	Rè bǐ yà	Rabiye or Rebiya (name)/Rebiya Kadeer or Rabiye Qadir (1947-), Uighur businesswoman and activist, imprisoned 1999-2005, then president of the World Uighur Congress
熱比婭·卡德爾	热比娅·卡德尔	Rè bǐ yà · Kǎ dé ěr	Rebiya Kadeer or Rabiye Qadir (1947-), Uighur businesswoman and activist, imprisoned 1999-2005, then president of the World Uighur Congress
瑪麗婭	玛丽娅	Mǎ lì yà	Maria (name)/St Mary
茱莉婭	茱莉娅	Zhū lì yà	Julia (name)
貝婭特麗克絲	贝娅特丽克丝	Bèi yà tè lì kè sī	Beatrix (name)
