嬌	娇	jiāo	lovable/pampered/tender/delicate/frail
力嬌酒	力娇酒	lì jiāo jiǔ	liquor (loanword)
吳儂嬌語	吴侬娇语	Wú nóng jiāo yǔ	pleasant-sounding Wu dialect/also written 吳儂軟語|吴侬软语[Wú nóng ruǎn yǔ]
傲嬌	傲娇	ào jiāo	(coll.) presenting as unfriendly and blunt, but warm and tender inside (loanword from Japanese "tsundere")
嬌兒	娇儿	jiāo ér	beloved son
嬌喘	娇喘	jiāo chuǎn	faint breathing
嬌嗔	娇嗔	jiāo chēn	(of a girl) to feign anger coquettishly
嬌媚	娇媚	jiāo mèi	flirtatious/coquettish/sweet and charming/beautiful young woman (old)
嬌嫩	娇嫩	jiāo nen	tender and lovely/fragile/delicate
嬌嬌女	娇娇女	jiāo jiāo nǚ	pampered girl from an affluent family
嬌寵	娇宠	jiāo chǒng	to indulge/to spoil
嬌小	娇小	jiāo xiǎo	petite/delicate/dainty
嬌弱	娇弱	jiāo ruò	delicate
嬌惰	娇惰	jiāo duò	pampered and lazy/indolent/without energy
嬌態	娇态	jiāo tài	charming attitude/lascivious pose
嬌慣	娇惯	jiāo guàn	to pamper/to coddle/to spoil
嬌氣	娇气	jiāo qì	delicate/squeamish/finicky
嬌滴滴	娇滴滴	jiāo dī dī	sweet/cute/delicately pretty
嬌生慣養	娇生惯养	jiāo shēng guàn yǎng	pampered and spoiled since childhood
嬌痴	娇痴	jiāo chī	spoilt and naive
嬌紅	娇红	jiāo hóng	tender pink
嬌縱	娇纵	jiāo zòng	to indulge (a child)/to pamper/to spoil
嬌美	娇美	jiāo měi	dainty
嬌羞	娇羞	jiāo xiū	bashful/shy/shyness/modesty
嬌翠	娇翠	jiāo cuì	tender green (shoots)
嬌豔	娇艳	jiāo yàn	tender and beautiful/also written 嬌艷|娇艳
嬌貴	娇贵	jiāo guì	pampered/fragile/finicky
嬌黃	娇黄	jiāo huáng	tender yellow
撒嬌	撒娇	sā jiāo	to act like a spoiled child/to throw a tantrum/to act coquettishly
桑嬌維塞	桑娇维塞	Sāng jiāo wéi sāi	Sangiovese (grape type)
野格力嬌酒	野格力娇酒	Yě gé lì jiāo jiǔ	Jägermeister (alcoholic drink)
金屋藏嬌	金屋藏娇	jīn wū cáng jiāo	a golden house to keep one's mistress (idiom); a magnificent house built for a beloved woman
陳嬌	陈娇	Chén Jiāo	Chen Jiao, first wife of emperor 漢武帝|汉武帝[Hàn Wǔ dì], died c. 110 BC
香嬌玉嫩	香娇玉嫩	xiāng jiāo yù nèn	a beautiful woman
