媽	妈	mā	ma/mom/mother
事兒媽	事儿妈	shì r5 mā	(coll.) fussbudget/pain in the ass
他媽的	他妈的	tā mā de	(taboo curse) damn it!/fucking
南拳媽媽	南拳妈妈	Nán Quán Mā mā	Nan Quan Mama, a Taiwanese Music Group
大姨媽	大姨妈	dà yí mā	great aunt/(slang) menstruation/period
大媽	大妈	dà mā	father's elder brother's wife/aunt (affectionate term for an elderly woman)
契媽	契妈	qì mā	adoptive mother
奶媽	奶妈	nǎi mā	wet nurse
姆媽	姆妈	mǔ mā	mom/mother (dialect)
姑媽	姑妈	gū mā	(coll.) father's married sister/paternal aunt
姨媽	姨妈	yí mā	(coll.) mother's sister/maternal aunt
姨媽巾	姨妈巾	yí mā jīn	(coll.) sanitary towel
娘媽	娘妈	niáng mā	(coll.) woman
婆婆媽媽	婆婆妈妈	pó po mā mā	effeminate/old-womanish/garrulous/fainthearted/overly careful/overly sensitive/maudlin
乾媽	干妈	gān mā	adoptive mother (traditional adoption, i.e. without legal ramifications)
媽了個巴子	妈了个巴子	mā le ge bā zi	fuck!/motherfucker!/fucking
媽咪	妈咪	mā mi	mommy (loanword)
媽媽	妈妈	mā ma	mama/mommy/mother/CL:個|个[gè],位[wèi]
媽媽桑	妈妈桑	mā ma sāng	mama-san, middle-aged woman who runs a brothel, bar etc (loanword from Japanese)/madam
媽寶	妈宝	mā bǎo	mama's boy
媽惹法克	妈惹法克	mā rě fǎ kè	motherfucker (loanword)
媽拉個巴子	妈拉个巴子	mā lā ge bā zi	fuck!/motherfucker!/fucking
媽的	妈的	mā de	see 他媽的|他妈的[tā mā de]
媽的法克	妈的法克	mā de fǎ kè	motherfucker (loanword)
媽眯	妈眯	mā mi	variant of 媽咪|妈咪[mā mi]
媽祖	妈祖	Mā zǔ	Matsu, name of a sea goddess still widely worshipped on the SE China coast and in SE Asia
媽賣批	妈卖批	mā mài pī	(vulgar) your mom's a prostitute (from Sichuan pronunciation of 媽賣屄|妈卖屄[mā mài bī])
寶媽	宝妈	bǎo mā	a mom (mother of a young child)
後媽	后妈	hòu mā	(coll.) stepmother
操你媽	操你妈	cào nǐ mā	see 肏你媽|肏你妈[cào nǐ mā]
日你媽	日你妈	rì nǐ mā	see 肏你媽|肏你妈[cào nǐ mā]
爸媽	爸妈	bà mā	dad and mom
老大媽	老大妈	lǎo dà mā	"Madam" (affectionate term for an elderly woman)/CL:位[wèi]
老媽	老妈	lǎo mā	mother/mom
老媽子	老妈子	lǎo mā zi	older female servant/amah
肏你媽	肏你妈	cào nǐ mā	fuck your mother (vulgar)
舅媽	舅妈	jiù mā	(coll.) aunt/maternal uncle's wife
親媽	亲妈	qīn mā	one's own mother/biological mother
辣媽	辣妈	là mā	(coll.) hot mom
阿媽	阿妈	ā mā	grandma (paternal) (Tw)/(dialect) mother/nurse/amah/(Manchu) father
