嬰	婴	yīng	infant/baby
女嬰	女婴	nǚ yīng	female baby
反聖嬰	反圣婴	Fǎn shèng yīng	La Niña (counterpart of El Niño in meteorology)
嬰兒	婴儿	yīng ér	infant/baby/CL:個|个[gè]/lead (Pb)
嬰兒手推車	婴儿手推车	yīng ér shǒu tuī chē	baby buggy
嬰兒期	婴儿期	yīng ér qī	infancy
嬰兒潮	婴儿潮	yīng ér cháo	baby boom
嬰兒猝死綜合症	婴儿猝死综合症	yīng ér cù sǐ zōng hé zhèng	sudden infant death syndrome (SIDS)/crib death
嬰兒車	婴儿车	yīng ér chē	baby carriage/pram/stroller
嬰孩	婴孩	yīng hái	infant
嬰幼兒	婴幼儿	yīng yòu ér	baby
孕嬰童	孕婴童	yùn yīng tóng	(market segment) maternity and early childhood
巨嬰	巨婴	jù yīng	(neologism c. 2017) adult who behaves in a childish manner (e.g. throwing a tantrum)
晏嬰	晏婴	Yàn Yīng	Yanzi (-c 500 BC), famous statesman from Qi of the Warring States, also known as 晏子, hero of book 晏子春秋
棄嬰	弃婴	qì yīng	to abandon an infant/abandoned baby
殺嬰	杀婴	shā yīng	infanticide
溺嬰	溺婴	nì yīng	to drown a newborn baby (as method of infanticide)
男嬰	男婴	nán yīng	male baby
聖嬰	圣婴	Shèng Yīng	El Niño (meteorology)/Holy Infant (cf biblical nativity story)
育嬰假	育婴假	yù yīng jià	parental leave (Tw)
育嬰師	育婴师	yù yīng shī	nanny (for infants and toddlers)
試管嬰兒	试管婴儿	shì guǎn yīng ér	test tube baby
販嬰	贩婴	fàn yīng	child trafficking
連體嬰	连体婴	lián tǐ yīng	conjoined twins
連體嬰兒	连体婴儿	lián tǐ yīng ér	conjoined twins/Siamese twins
