宋	宋	Sòng	surname Song/the Song dynasty (960-1279)/also Song of the Southern dynasties 南朝宋 (420-479)
傑瑞·宋飛	杰瑞·宋飞	Jié ruì · Sòng fēi	Jerry Seinfeld
兩宋	两宋	Liǎng Sòng	the Song dynasty (960-1279)/refers to the Northern (960-1127) and Southern Song (1128-1279)
劉宋	刘宋	Liú Sòng	Song of the Southern dynasties 南朝宋 (420-479), with capital at Nanjing
劉宋時代	刘宋时代	Liú Sòng Shí dài	Song of the Southern dynasties (420-479), with capital at Nanjing
北宋	北宋	Běi Sòng	the Northern Song Dynasty (960-1127)
北宋四大部書	北宋四大部书	Běi Sòng sì dà bù shū	Four great compilations of Northern Song dynasty, namely: Extensive records of the Taiping era (978) 太平廣記|太平广记, Imperial readings of the Taiping era 太平御覽|太平御览, Prime tortoise of the record bureau 冊府元龜|册府元龟, Finest blossoms in the garden of literature 文苑英華|文苑英华
南宋	南宋	Nán sòng	the Southern Song dynasty (1127-1279)
南朝宋	南朝宋	Nán cháo Sòng	Song of the Southern dynasties (420-479), with capital at Nanjing/also known as Liu Song 劉宋|刘宋
呂宋島	吕宋岛	Lǚ sòng Dǎo	Luzon Island, north Philippines
呂宋海峽	吕宋海峡	Lǚ sòng Hǎi xiá	Luzon Strait between Taiwan and Luzon Island (Philippines)
唐宋	唐宋	Táng Sòng	the Tang (618-907) and Song (960-1279) dynasties
唐宋八大家	唐宋八大家	Táng Sòng bā dà jiā	Eight Giants of Tang and Song prose, esp. involved in the Classics movement 古文運動|古文运动[gǔ wén yùn dòng], namely: Han Yu 韓愈|韩愈[Hán Yù], Liu Zongyuan 柳宗元[Liǔ Zōng yuán], Ouyang Xiu 歐陽修|欧阳修[Ōu yáng Xiū], the Three Su father and sons 三蘇|三苏[Sān Sū], Wang Anshi 王安石[Wáng Ān shí], Zeng Gong 曾鞏|曾巩[Zēng Gǒng]
仿宋	仿宋	fǎng Sòng	imitation Song dynasty typeface/Fangsong font
宋代	宋代	Sòng dài	Song dynasty (960-1279)
宋任窮	宋任穷	Sòng Rèn qióng	Song Renqiong (1909-2005), general of the People's Liberation Army
宋史	宋史	Sòng shǐ	History of the Song Dynasty, twentieth of the 24 dynastic histories 二十四史[Èr shí sì Shǐ], composed under Toktoghan 脫脫|脱脱[Tuō tuō] in 1345 during the Yuan Dynasty 元[Yuán], 496 scrolls/(not to be confused with 宋書|宋书[Sòng shū])
宋四大書	宋四大书	Sòng sì dà shū	Four great compilations of Northern Song dynasty, namely: Extensive records of the Taiping era (978) 太平廣記|太平广记, Imperial readings of the Taiping era 太平御覽|太平御览, Prime tortoise of the record bureau 冊府元龜|册府元龟, Finest blossoms in the garden of literature 文苑英華|文苑英华
宋四家	宋四家	Sòng sì jiā	four famous Song calligraphers, namely: Su Shi 蘇軾|苏轼[Sū Shì], Huang Tingjian 黃庭堅|黄庭坚[Huáng Tíng jiān], Mi Fu 米芾[Mǐ Fú] and Cai Xiang 蔡襄[Cài Xiāng]
宋太祖	宋太祖	Sòng Tài zǔ	Emperor Taizu of Song, posthumous title of the founding Song emperor Zhao Kuangyin 趙匡胤|赵匡胤 (927-976), reigned from 960
宋干節	宋干节	Sòng gān jié	Songkran (Thai New Year festival)
宋徽宗	宋徽宗	Sòng Huī zōng	Emperor Huizong (Song Dynasty)
宋慈	宋慈	Sòng Cí	Song Ci (1186-1249), Southern Song lawyer, editor of Record of Washed Grievances 洗冤集錄|洗冤集录 (1247), said to be the world's first legal forensic text
宋慶齡	宋庆龄	Sòng Qìng líng	Song Qingling or Rosemonde Soong (1893-1981), wife of Sun Yat-sen 孫中山|孙中山[Sūn Zhōng shān]
宋教仁	宋教仁	Sòng Jiào rén	Song Jiaoren (1882-1913), politician of the revolutionary party involved in the 1911 Xinhai revolution, murdered in Shanghai in 1913
宋書	宋书	Sòng shū	History of Song of the Southern Dynasties 南朝宋[Nán cháo Sòng] or Liu Song 劉宋|刘宋[Liú Sòng], sixth of the 24 dynastic histories 二十四史[Èr shí sì Shǐ], compiled by Shen Yue 沈約|沈约[Shén Yuè] in 488 during Liang of the Southern Dynasties 南朝梁[Nán cháo Liáng], 100 scrolls/(not to be confused with 宋史[Sòng shǐ])
宋朝	宋朝	Sòng cháo	Song Dynasty (960-1279)/also Song of Southern dynasties 南朝宋 (420-479)
宋楚瑜	宋楚瑜	Sòng Chǔ yú	James Soong (1942-), Taiwanese politician expelled from Guomindang in 2000 when he founded People First Party 親民黨|亲民党
宋武帝	宋武帝	Sòng Wǔ dì	Emperor Wu of Song (363-422), personal name Liu Yu 劉裕|刘裕[Liú Yù], founder of Song of the Southern dynasties 劉宋|刘宋[Liú Sòng], broke away from Eastern Jin in 420, reigned 420-422
宋武帝劉裕	宋武帝刘裕	Sòng wǔ dì Liú yù	Liu Yu, founder of Southern dynasty Song 劉宋|刘宋, broke away from Eastern Jin in 420
宋江	宋江	Sòng Jiāng	Song Jiang, a principal hero of the novel Water Margin 水滸傳|水浒传
宋濂	宋濂	Sòng Lián	Song Lian (1310-1381), Ming dynasty writer, historian and politician
宋白	宋白	Sòng bái	Song Bai (936-1012), Northern Song literary man
宋祁	宋祁	Sòng Qí	Song Qi (998-1061), Song dynasty poet and writer, coauthor of History of the Later Tang Dynasty 新唐書|新唐书
宋祖英	宋祖英	Sòng Zǔ yīng	Song Zuying (1966-), Chinese folk music singer
宋美齡	宋美龄	Sòng Měi líng	Soong Mei-ling (1898-2003), Chiang Kai-shek's second wife
宋襄公	宋襄公	Sòng Xiāng gōng	Duke Xiang of Song (reigned 650-637 BC), sometimes considered one of the Five Hegemons 春秋五霸
宋體	宋体	sòng tǐ	Mincho/Song font
羅宋湯	罗宋汤	Luó sòng tāng	borscht, a traditional beetroot soup
趙宋	赵宋	Zhào Sòng	Song dynasty (960-1279)/used to distinguish it from 劉宋|刘宋 Song of Southern dynasties (420-479)
