賓	宾	bīn	visitor/guest/object (in grammar)
主賓	主宾	zhǔ bīn	guest of honor/host and guests
主賓謂	主宾谓	zhǔ bīn wèi	subject-object-verb SOV or subject-object-predicate sentence pattern (e.g. in Japanese or Korean grammar)
五彩賓紛	五彩宾纷	wǔ cǎi bīn fēn	colorful
佳賓	佳宾	jiā bīn	variant of 嘉賓|嘉宾[jiā bīn]
來賓	来宾	Lái bīn	Laibin prefecture-level city in Guangxi
來賓	来宾	lái bīn	guest/visitor
來賓市	来宾市	Lái bīn shì	Laibin prefecture-level city in Guangxi
內賓	内宾	nèi bīn	guest from the same country/internal or domestic visitor (as opposed to international guest 外賓|外宾)
利賓納	利宾纳	lì bīn nà	Ribena
劉賓雁	刘宾雁	Liú Bīn yàn	Liu Binyan (1925-2005), journalist and novelist, condemned by Mao as rightist faction in 1957, subsequently dissident writer
動賓式	动宾式	dòng bīn shì	verb-object construction
卡賓槍	卡宾枪	kǎ bīn qiāng	carbine rifle (loanword)
呂洞賓	吕洞宾	Lǚ Dòng bīn	Lü Dongbin (796-), Tang Dynasty scholar, one of the Eight Immortals 八仙[Bā xiān]
哀告賓服	哀告宾服	āi gào bīn fú	to bring tribute as sign of submission (idiom); to submit
喧賓奪主	喧宾夺主	xuān bīn duó zhǔ	lit. the voice of the guest overwhelms that of the host (idiom)/fig. a minor player upstages the main attraction/minor details obscure the main point/the sauce is better than the fish
嘉賓	嘉宾	jiā bīn	esteemed guest/honored guest/guest (on a show)
國賓	国宾	guó bīn	state visitor/visiting head of state
國賓館	国宾馆	guó bīn guǎn	state guesthouse
外賓	外宾	wài bīn	foreign guest/international visitor
宜賓	宜宾	Yí bīn	Yibin prefecture level city in Sichuan
宜賓地區	宜宾地区	Yí bīn dì qū	Yibin prefecture level city in Sichuan
宜賓市	宜宾市	Yí bīn shì	Yibin prefecture level city in Sichuan
宜賓縣	宜宾县	Yí bīn xiàn	Yibin county in Yibin 宜賓|宜宾[Yí bīn], Sichuan
提姆·羅賓斯	提姆·罗宾斯	Tí mǔ · Luó bīn sī	Tim Robbins (1958-), American actor, director, activist and musician
斯克里亞賓	斯克里亚宾	Sī kè lǐ yà bīn	Alexander Scriabin (1872-1915), Russian composer and pianist
斯賓塞	斯宾塞	Sī bīn sè	Spencer or Spence (name)
斯賓諾莎	斯宾诺莎	Sī bīn nuò shā	Baruch or Benedict Spinoza (1632-1677), rationalist philosopher
新賓滿族自治縣	新宾满族自治县	Xīn bīn mǎn zú Zì zhì xiàn	Xinbin Manchu autonomous county in Fushun 撫順|抚顺, Liaoning
新賓縣	新宾县	Xīn bīn xiàn	Xinbin county in Fushun 撫順|抚顺, Liaoning
杜賓犬	杜宾犬	dù bīn quǎn	Doberman (dog breed)
湯姆·羅賓斯	汤姆·罗宾斯	Tāng mǔ · Luó bīn sī	Tom Robbins, American novelist
狗咬呂洞賓，不識好人心	狗咬吕洞宾，不识好人心	gǒu yǎo Lǚ Dòng bīn , bù shí hǎo rén xīn	a dog biting Lü Dongbin (idiom)/to ill reward a person's kindness
直接賓語	直接宾语	zhí jiē bīn yǔ	direct object (grammar)
相敬如賓	相敬如宾	xiāng jìng rú bīn	to treat each other as an honored guest (idiom)/mutual respect between husband and wife
禮賓	礼宾	lǐ bīn	protocol/official etiquette
羅賓漢	罗宾汉	Luó bīn hàn	Robin Hood (English 12th century folk hero)
羅賓遜	罗宾逊	Luó bīn xùn	Robinson (name)
興賓	兴宾	Xīng bīn	Xingbin district of Laibin city 來賓市|来宾市[Lái bīn shì], Guangxi
興賓區	兴宾区	Xīng bīn qū	Xingbin district of Laibin city 來賓市|来宾市[Lái bīn shì], Guangxi
菲律賓	菲律宾	Fēi lǜ bīn	the Philippines
菲律賓人	菲律宾人	Fēi lǜ bīn rén	Filipino
菲律賓大學	菲律宾大学	Fēi lǜ bīn Dà xué	University of the Philippines
菲律賓語	菲律宾语	Fēi lǜ bīn yǔ	Tagalog (language)
菲律賓鵑鳩	菲律宾鹃鸠	Fēi lǜ bīn juān jiū	(bird species of China) Philippine cuckoo-dove (Macropygia tenuirostris)
西洛賽賓	西洛赛宾	xī luò sài bīn	psilocybin
貴賓	贵宾	guì bīn	honored guest/distinguished guest/VIP
貴賓室	贵宾室	guì bīn shì	VIP lounge
貴賓犬	贵宾犬	guì bīn quǎn	poodle
主謂賓	主谓宾	zhǔ wèi bīn	subject-verb-object SVO or subject-predicate-object sentence pattern (e.g. in Chinese grammar)
賓主	宾主	bīn zhǔ	guest and host
賓主盡歡	宾主尽欢	bīn zhǔ jìn huān	both the guests and the hosts thoroughly enjoy themselves (idiom)
賓利	宾利	Bīn lì	Bentley
賓士	宾士	Bīn shì	Taiwan equivalent of 奔馳|奔驰[Bēn chí]
賓夕法尼亞	宾夕法尼亚	Bīn xī fǎ ní yà	Pennsylvania
賓夕法尼亞大學	宾夕法尼亚大学	Bīn xī fǎ ní yà Dà xué	University of Pennsylvania
