屍	尸	shī	corpse
借屍還魂	借尸还魂	jiè shī huán hún	lit. reincarnated in sb else's body (idiom); fig. a discarded or discredited idea returns in another guise
停屍	停尸	tíng shī	to keep the body of the deceased (until burial or cremation)
停屍房	停尸房	tíng shī fáng	mortuary
停屍間	停尸间	tíng shī jiān	morgue
僵屍網絡	僵尸网络	jiāng shī wǎng luò	botnet/zombie network/slave network (used by spammers)
僵屍車	僵尸车	jiāng shī chē	(coll.) abandoned car
全屍	全尸	quán shī	intact corpse/dead body with no parts missing
分屍	分尸	fēn shī	to dismember a corpse
喪屍	丧尸	sāng shī	zombie
姦屍	奸尸	jiān shī	necrophilia
乾屍	干尸	gān shī	mummy/dried corpse
屍僵	尸僵	shī jiāng	rigor mortis
屍塊	尸块	shī kuài	body parts (of a mutilated corpse)
屍布	尸布	shī bù	pall (casket covering)
屍斑	尸斑	shī bān	livor mortis
屍檢	尸检	shī jiǎn	autopsy
屍首	尸首	shī shou	corpse/carcass/dead body
屍骨	尸骨	shī gǔ	skeleton of the dead
屍骸	尸骸	shī hái	corpse/skeleton
屍體	尸体	shī tǐ	dead body/corpse/carcass/CL:具[jù]
屍體剖檢	尸体剖检	shī tǐ pōu jiǎn	autopsy
屍體袋	尸体袋	shī tǐ dài	body bag
屍體解剖	尸体解剖	shī tǐ jiě pōu	autopsy/postmortem
戀屍癖	恋尸癖	liàn shī pǐ	necrophilia
挺屍	挺尸	tǐng shī	(lit.) to lie stiff like a corpse/(coll.) to sleep
掘墓鞭屍	掘墓鞭尸	jué mù biān shī	to exhume a body for public flogging (idiom)
撿屍	捡尸	jiǎn shī	(slang) to target an intoxicated person for sexual assault
橫屍遍野	横尸遍野	héng shī biàn yě	corpses strew the field/deadly (conflict)
檢屍	检尸	jiǎn shī	autopsy/necropsy/postmortem examination
死屍	死尸	sǐ shī	a corpse/a dead body
殭屍	僵尸	jiāng shī	gyonshi/jiang shi/Chinese vampire/zombie
殭屍粉	僵尸粉	jiāng shǐ fěn	"zombie fans", fake followers that can be bought to boost one's popularity on Weibo, Baidu etc
焚屍	焚尸	fén shī	to cremate
焚屍爐	焚尸炉	fén shī lú	crematorium/crematory oven
碎屍	碎尸	suì shī	dismembered body
行屍走肉	行尸走肉	xíng shī zǒu ròu	walking corpse (idiom)/zombie/person who lives only on the material level
裹屍布	裹尸布	guǒ shī bù	shroud/cloth to wrap a corpse
詐屍	诈尸	zhà shī	sudden movement of a corpse (superstition)/fig. sudden torrent of abuse
躺屍	躺尸	tǎng shī	(deprecatory) to lie motionless (asleep, drunk, lazing etc)
陳屍	陈尸	chén shī	to lay out the corpse
馬革裹屍	马革裹尸	mǎ gé guǒ shī	to be buried in a horse hide (idiom)/to give one's life on the battlefield
驗屍	验尸	yàn shī	autopsy/postmortem examination
驗屍官	验尸官	yàn shī guān	coroner
