嶼	屿	yǔ	islet
島嶼	岛屿	dǎo yǔ	island
大嶼山	大屿山	Dà yǔ shān	Lantau Island
彭佳嶼	彭佳屿	Péng jiā yǔ	Pengjia Island, administered as part of Chilung or Keelung 基隆[Jī lóng], Taiwan
檳榔嶼	槟榔屿	Bīng lang yǔ	Penang Pulau (Island), Malaysia
烈嶼	烈屿	Liè yǔ	Liehyu township in Kinmen County 金門縣|金门县[Jīn mén xiàn] (Kinmen or Quemoy islands), Taiwan
烈嶼鄉	烈屿乡	Liè yǔ xiāng	Liehyu township in Kinmen County 金門縣|金门县[Jīn mén xiàn] (Kinmen or Quemoy islands), Taiwan
秀嶼	秀屿	Xiù yǔ	Xiuyu district of Putian city 莆田市[Pú tián shì], Fujian
秀嶼區	秀屿区	Xiù yǔ qū	Xiuyu district of Putian city 莆田市[Pú tián shì], Fujian
蘭嶼	兰屿	Lán yǔ	Lanyu or Orchid Island township in Taitung County 臺東縣|台东县[Tái dōng Xiàn], southeast Taiwan
蘭嶼鄉	兰屿乡	Lán yǔ xiāng	Lanyu or Orchid Island township in Taitung County 臺東縣|台东县[Tái dōng Xiàn], southeast Taiwan
西嶼	西屿	Xī yǔ	Xiyu or Hsiyu township in Penghu county 澎湖縣|澎湖县[Péng hú xiàn] (Pescadores Islands), Taiwan
西嶼鄉	西屿乡	Xī yǔ xiāng	Xiyu or Hsiyu township in Penghu county 澎湖縣|澎湖县[Péng hú xiàn] (Pescadores Islands), Taiwan
鼓浪嶼	鼓浪屿	Gǔ làng yǔ	Gulangyu, scenic island off Xiamen 廈門|厦门[Xià mén]
