岡	冈	gāng	ridge/mound
井岡山	井冈山	Jǐng gāng shān	Jinggangshan county level city in Ji'an 吉安, Jiangxi
井岡山市	井冈山市	Jǐng gāng shān shì	Jinggangshan county level city in Ji'an 吉安, Jiangxi
佛岡	佛冈	Fó gāng	Fogang county in Qingyuan 清远, Guangdong
佛岡縣	佛冈县	Fó gāng xiàn	Fogang county in Qingyuan 清远, Guangdong
俄勒岡	俄勒冈	É lè gāng	Oregon
俄勒岡州	俄勒冈州	É lè gāng zhōu	Oregon
寧岡	宁冈	Níng gāng	former Ninggang county in Jiangxi, now within Jinggangshan county level city 井岡山市|井冈山市[Jǐng gāng shān shì] in Ji'an 吉安, Jiangxi
寧岡縣	宁冈县	Níng gāng xiàn	former Ninggang county in Jiangxi, now within Jinggangshan county level city 井岡山市|井冈山市[Jǐng gāng shān shì] in Ji'an 吉安, Jiangxi
山岡	山冈	shān gāng	mound/small hill
井岡山	井冈山	Jǐng gāng Shān	Jinggang Mountains, in the Jiangxi-Hunan border region
岡上肌	冈上肌	gāng shàng jī	supraspinatus muscle
岡下肌	冈下肌	gāng xià jī	infraspinatus muscle
岡仁波齊	冈仁波齐	Gāng rén bō qí	Mt Gang Rinpoche in Tibet/also called Mount Kailash
岡仁波齊峰	冈仁波齐峰	Gāng rén bō qí fēng	Mt Gang Rinpoche in Tibet/also called Mount Kailash
岡山	冈山	Gāng shān	Kangshan town in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan/Okayama prefecture in southwest of Japan's main island Honshū 本州[Běn zhōu]
岡山區	冈山区	Gāng shān Qū	Gangshan District in Kaohsiung, Taiwan
岡山縣	冈山县	Gāng shān xiàn	Okayama prefecture in southwest of Japan's main island Honshū 本州[Běn zhōu]
岡山鎮	冈山镇	Gāng shān zhèn	Kangshan town in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
岡底斯山	冈底斯山	Gāng dǐ sī shān	Mt Gangdisê (6656m) in southwest Tibet, revered by Tibetans as the center of the universe
岡底斯山脈	冈底斯山脉	Gāng dǐ sī shān mài	Gangdisê mountain range in southwest Tibet
岡本	冈本	Gāng běn	Okamoto (Japanese surname and place name)
岡比亞	冈比亚	Gāng bǐ yà	Gambia
岡田	冈田	Gāng tián	Okada (Japanese surname)
拉岡	拉冈	Lā gāng	Lacan (psychoanalyst)
梵帝岡	梵帝冈	Fàn dì gāng	the Vatican/variant of 梵蒂岡|梵蒂冈[Fàn dì gāng]
梵蒂岡	梵蒂冈	Fàn dì gāng	Vatican City
梵蒂岡城	梵蒂冈城	Fàn dì gāng chéng	Vatican City, capital of Holy See
梵諦岡	梵谛冈	Fàn dì gāng	Vatican
武岡	武冈	Wǔ gāng	Wugang county level city in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
武岡市	武冈市	Wǔ gāng shì	Wugang county level city in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
石岡	石冈	Shí gāng	Shihkang township in Taichung county 臺中縣|台中县[Tái zhōng xiàn], Taiwan
石岡鄉	石冈乡	Shí gāng xiāng	Shihkang township in Taichung county, 臺中縣|台中县[Tái zhōng xiàn], Taiwan
神岡	神冈	Shén gāng	Shenkang township in Taichung county 臺中縣|台中县[Tái zhōng xiàn], Taiwan
神岡鄉	神冈乡	Shén gāng xiāng	Shenkang township in Taichung county 臺中縣|台中县[Tái zhōng xiàn], Taiwan
福岡	福冈	Fú gāng	Fukuoka, city in Kyushyu, Japan
福岡縣	福冈县	Fú gāng xiàn	Fukuoka prefecture
茨岡	茨冈	cí gāng	(loanword) tzigane/gypsy
雲岡石窟	云冈石窟	Yún gāng Shí kū	Yungang Caves at Datong 大同, Shanxi 山西
青岡	青冈	Qīng gāng	Qinggang county in Suihua 綏化|绥化, Heilongjiang
青岡縣	青冈县	Qīng gāng xiàn	Qinggang county in Suihua 綏化|绥化, Heilongjiang
靜岡縣	静冈县	Jìng gāng xiàn	Shizuoka prefecture southwest of Tokyo, Japan
鳳岡	凤冈	Fèng gāng	Fenggang county in Zunyi 遵義|遵义[Zūn yì], Guizhou
鳳岡縣	凤冈县	Fèng gāng xiàn	Fenggang county in Zunyi 遵義|遵义[Zūn yì], Guizhou
黃岡	黄冈	Huáng gāng	Huanggang prefecture-level city in Hubei
黃岡市	黄冈市	Huáng gāng shì	Huanggang prefecture-level city in Hubei
