嶺	岭	lǐng	mountain range/mountain ridge
上甘嶺區	上甘岭区	Shàng gān lǐng qū	Shanganling district of Yichun city 伊春市[Yī chūn shì], Heilongjiang
中央海嶺	中央海岭	zhōng yāng hǎi lǐng	mid-ocean ridge (geology)
五嶺	五岭	wǔ lǐng	the five ranges separating Hunan and Jiangxi from south China, esp. Guangdong and Guangxi, namely: Dayu 大庾嶺|大庾岭[Dà yǔ lǐng], Dupang 都龐嶺|都庞岭[Dū páng lǐng], Qitian 騎田嶺|骑田岭[Qí tián lǐng], Mengzhu 萌渚嶺|萌渚岭[Méng zhǔ lǐng] and Yuecheng 越城嶺|越城岭[Yuè chéng lǐng]
八達嶺	八达岭	Bā dá lǐng	Badaling, a particular section of the Great Wall that is a favorite tourist destination
公主嶺	公主岭	Gōng zhǔ lǐng	Gongzhuling county level city in Siping 四平, Jilin
公主嶺市	公主岭市	Gōng zhǔ lǐng shì	Gongzhuling county level city in Siping 四平, Jilin
分水嶺	分水岭	fēn shuǐ lǐng	dividing range/drainage divide/(fig.) dividing line/watershed
南嶺	南岭	Nán lǐng	Nanling mountain, on the border of Hunan, Jiangxi, Guangdong and Guangxi
大分界嶺	大分界岭	Dà fēn jiè lǐng	Great Dividing Range, mountain range along the east coast of Australia
大吉嶺	大吉岭	Dà jí lǐng	Darjeeling, town in India
大庾嶺	大庾岭	Dà yǔ lǐng	Dayu mountain range between southwest Jiangxi and Guangdong
大興安嶺	大兴安岭	Dà xīng ān lǐng	Daxing'anling mountain range in northwest Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China/Daxing'anling prefecture
大興安嶺地區	大兴安岭地区	Dà xīng ān lǐng dì qū	Daxing'anling prefecture in northwest Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
大興安嶺山脈	大兴安岭山脉	Dà xīng ān lǐng shān mài	Daxing'anling mountain range in northwest Heilongjiang province
山嶺	山岭	shān lǐng	mountain ridge
峻嶺	峻岭	jùn lǐng	lofty mountain range
崇山峻嶺	崇山峻岭	chóng shān jùn lǐng	towering mountains and precipitous ridges (idiom)
上甘嶺	上甘岭	Shàng gān lǐng	Shanganling district of Yichun city 伊春市[Yī chūn shì], Heilongjiang
嶺南	岭南	Lǐng nán	south of the five ranges/old term for south China, esp. Guangdong and Guangxi
嶺巆	岭巆	lǐng yíng	lofty (of mountain)/deep (of valley)
嶺東	岭东	Lǐng dōng	Lingdong district of Shuangyashan city 雙鴨山|双鸭山[Shuāng yā shān], Heilongjiang
嶺東區	岭东区	Lǐng dōng qū	Lingdong district of Shuangyashan city 雙鴨山|双鸭山[Shuāng yā shān], Heilongjiang
巴山越嶺	巴山越岭	bā shān yuè lǐng	to climb hills and pass over mountains (idiom); to cross mountain after mountain/good at climbing mountains
帶嶺	带岭	Dài lǐng	Dailing district of Yichun city 伊春市[Yī chūn shì], Heilongjiang
帶嶺區	带岭区	Dài lǐng qū	Dailing district of Yichun city 伊春市[Yī chūn shì], Heilongjiang
弓長嶺	弓长岭	Gōng cháng lǐng	Gongchangling district of Liaoyang city 遼陽市|辽阳市[Liáo yáng shì], Liaoning
弓長嶺區	弓长岭区	Gōng cháng lǐng qū	Gongchangling district of Liaoyang city 遼陽市|辽阳市[Liáo yáng shì], Liaoning
杏花嶺	杏花岭	Xìng huā lǐng	Xinghualing district of Taiyuan city 太原市[Tài yuán shì], Shanxi
杏花嶺區	杏花岭区	Xìng huā lǐng qū	Xinghualing district of Taiyuan city 太原市[Tài yuán shì], Shanxi
松嶺	松岭	Sōng lǐng	Songling district of Daxing'anling prefecture 大興安嶺地區|大兴安岭地区, Heilongjiang
松嶺區	松岭区	Sōng lǐng qū	Songling district of Daxing'anling prefecture 大興安嶺地區|大兴安岭地区, Heilongjiang
林嶺雀	林岭雀	lín lǐng què	(bird species of China) plain mountain finch (Leucosticte nemoricola)
果嶺	果岭	guǒ lǐng	green (golf) (loanword)
桂北越城嶺	桂北越城岭	Guì běi Yuè chéng lǐng	Mt Yuexiu, Guanxi
海嶺	海岭	hǎi lǐng	mid-ocean ridge
溫嶺	温岭	Wēn lǐng	Wenling county level city in Taizhou 台州[Tāi zhōu], Zhejiang
溫嶺市	温岭市	Wēn lǐng shì	Wenling county level city in Taizhou 台州[Tāi zhōu], Zhejiang
烏伊嶺	乌伊岭	Wū yī lǐng	Wuyiling district of Yichun city 伊春市[Yī chūn shì], Heilongjiang
烏伊嶺區	乌伊岭区	Wū yī lǐng qū	Wuyiling district of Yichun city 伊春市[Yī chūn shì], Heilongjiang
秦嶺	秦岭	Qín lǐng	Qinling mountain range in Shaanxi forming natural barrier between Guanzhong plain 關中平原|关中平原[Guān zhōng píng yuán] and Han River 漢水|汉水[Hàn shuǐ] valley
秦嶺山脈	秦岭山脉	Qín lǐng shān mài	Qinling mountain range in Shaanxi forming natural barrier between Guanzhong plain 關中平原|关中平原 and Han River 汉水 valley
秦嶺蜀棧道	秦岭蜀栈道	Qín lǐng shǔ zhàn dào	the Qinling plank road to Shu, a historical mountain road from Shaanxi to Sichuan
粉紅腹嶺雀	粉红腹岭雀	fěn hóng fù lǐng què	(bird species of China) Asian rosy finch (Leucosticte arctoa)
翻山越嶺	翻山越岭	fān shān yuè lǐng	to pass over mountains ridges (idiom); fig. hardships of the journey
老爺嶺	老爷岭	Lǎo ye lǐng	Chinese name for Sichote-Alin mountain range in Russia's Primorsky Krai around Vladivostok
荒山野嶺	荒山野岭	huāng shān yě lǐng	wild, mountainous country
萌渚嶺	萌渚岭	Méng zhǔ lǐng	Mengzhu mountain range between south Hunan and Guangxi
蔥嶺	葱岭	Cōng lǐng	old name for the Pamir high plateau 帕米爾高原|帕米尔高原[Pà mǐ ěr Gāo yuán] on the border between Xinjiang and Tajikistan
蕉嶺	蕉岭	Jiāo lǐng	Jiaoling county in Meizhou 梅州, Guangdong
蕉嶺縣	蕉岭县	Jiāo lǐng xiàn	Jiaoling county in Meizhou 梅州, Guangdong
褐頭嶺雀	褐头岭雀	hè tóu lǐng què	(bird species of China) Sillem's mountain finch (Leucosticte sillemi)
越城嶺	越城岭	Yuè chéng lǐng	Yuecheng mountain range between south Hunan and Guangxi
都龐嶺	都庞岭	Dū páng lǐng	Dupang mountain range between south Hunan and Guangdong
鐵嶺	铁岭	Tiě lǐng	Tieling prefecture level city in Liaoning province 遼寧省|辽宁省 in northeast China/also Tieling county
鐵嶺地區	铁岭地区	Tiě lǐng dì qū	Tieling prefecture and county in Liaoning
鐵嶺市	铁岭市	Tiě lǐng shì	Tieling prefecture level city in Liaoning province 遼寧省|辽宁省 in northeast China
鐵嶺縣	铁岭县	Tiě lǐng xiàn	Tieling county in Tieling 鐵嶺|铁岭, Liaoning
長嶺	长岭	Cháng lǐng	Changling county in Songyuan 松原, Jilin
長嶺縣	长岭县	Cháng lǐng xiàn	Changling county in Songyuan 松原, Jilin
關嶺布依族苗族自治縣	关岭布依族苗族自治县	Guān lǐng Bù yī zú Miáo zú Zì zhì xiàn	Guanling Buyei and Hmong autonomous county in Anshun 安順|安顺[Ān shùn], Guizhou
關嶺縣	关岭县	Guān lǐng xiàn	Guanling Buyei and Hmong autonomous county in Anshun 安順|安顺[Ān shùn], Guizhou
騎田嶺	骑田岭	Qí tián lǐng	Qitian mountain range between south Hunan and Guangdong
高山嶺雀	高山岭雀	gāo shān lǐng què	(bird species of China) Brandt's mountain finch (Leucosticte brandti)
高嶺土	高岭土	gāo lǐng tǔ	kaolin (clay)/china clay
