鞏	巩	gǒng	secure/solid
岑鞏縣	岑巩县	Cén gǒng xiàn	Cengong county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
曾鞏	曾巩	Zēng Gǒng	Zeng Gong (1019-1083), Song dynasty writer, one of the Eight Giants 唐宋八大家
岑鞏	岑巩	Cén gǒng	Cengong county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
鞏俐	巩俐	Gǒng Lì	Gong Li (1965-), PRC female film star
鞏固	巩固	gǒng gù	to consolidate/consolidation/to strengthen
鞏留	巩留	Gǒng liú	Gongliu county or Toqquztara nahiyisi in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
鞏留縣	巩留县	Gǒng liú xiàn	Gongliu county or Toqquztara nahiyisi in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
鞏縣	巩县	Gǒng xiàn	Gong county in Henan
鞏義	巩义	Gǒng yì	Gongyi county level city in Zhengzhou 鄭州|郑州[Zhèng zhōu], Henan
鞏義市	巩义市	Gǒng yì shì	Gongyi county level city in Zhengzhou 鄭州|郑州[Zhèng zhōu], Henan
鞏膜	巩膜	gǒng mó	sclera (white of the eye)
