廬	庐	lú	hut
不識廬山真面目	不识庐山真面目	bù shì Lú shān zhēn miàn mù	lit. not to know the true face of Lushan Mountain/fig. can't see the forest for the trees
初出茅廬	初出茅庐	chū chū máo lú	venturing from one's thatched hut for the first time (idiom)/young and inexperienced/novice/greenhorn
吳王闔廬	吴王阖庐	Wú wáng Hé Lú	King Helu of Wu (-496 BC, reigned 514-496 BC)/also called 吳王闔閭|吴王阖闾
三顧茅廬	三顾茅庐	sān gù máo lú	lit. three humble visits to a thatched cottage/cf famous episode in the fictional Romance of Three Kingdoms 三國演義|三国演义 in which Liu Bei 劉備|刘备 recruits Zhuge Liang 諸葛亮|诸葛亮 (the Hidden Dragon 臥龍|卧龙) to his cause by visiting him three times
廬山	庐山	Lú shān	Lushan district of Jiujiang city 九江市, Jiangxi/Mt Lushan in Jiujiang, famous as summer holiday spot
廬山區	庐山区	Lú shān qū	Lushan district of Jiujiang city 九江市, Jiangxi
廬江	庐江	Lú jiāng	Lujiang county in Chaohu 巢湖[Cháo hú], Anhui
廬江縣	庐江县	Lú jiāng xiàn	Lujiang county in Chaohu 巢湖[Cháo hú], Anhui
廬陽	庐阳	Lú yáng	Luyang district of Hefei city 合肥市[Hé féi shì], Anhui
廬陽區	庐阳区	Lú yáng qū	Luyang district of Hefei city 合肥市[Hé féi shì], Anhui
桐廬	桐庐	Tóng lú	Tonglu county in Hangzhou 杭州[Háng zhōu], Zhejiang
桐廬縣	桐庐县	Tóng lú xiàn	Tonglu county in Hangzhou 杭州[Háng zhōu], Zhejiang
穹廬	穹庐	qióng lú	yurt (round tent)
結廬	结庐	jié lú	to build one's house
茅廬	茅庐	máo lú	thatched cottage
蝸廬	蜗庐	wō lú	humble abode
闔廬	阖庐	Hé Lú	King Helu of Wu (-496 BC, reigned 514-496 BC)/also called 闔閭|阖闾
