廂	厢	xiāng	box (in theater)/side room/side
一廂情願	一厢情愿	yī xiāng qíng yuàn	one's own wishful thinking
三廂	三厢	sān xiāng	sedan (automobile body type)
兩廂情願	两厢情愿	liǎng xiāng qíng yuàn	both sides are willing/by mutual consent
包廂	包厢	bāo xiāng	box (in a theater or concert hall)/private room (in a restaurant or karaoke)
城廂	城厢	Chéng xiāng	Chengxiang district of Putian city 莆田市[Pú tián shì], Fujian
城廂區	城厢区	Chéng xiāng qū	Chengxiang district of Putian city 莆田市[Pú tián shì], Fujian
壁廂	壁厢	bì xiāng	lateral/side/to the side/beside
一壁廂	一壁厢	yī bì xiāng	see 一壁[yī bì]
廂型車	厢型车	xiāng xíng chē	van (Tw)
廂式車	厢式车	xiāng shì chē	van
廂房	厢房	xiāng fáng	wing (of a traditional house)/side room
樓廂	楼厢	lóu xiāng	loft
西廂記	西厢记	Xī xiāng Jì	Romance of the West Chamber by Wang Shifu 王實甫|王实甫[Wáng Shí fǔ]
車廂	车厢	chē xiāng	carriage/CL:節|节[jié]
邊廂	边厢	biān xiāng	side/side-room/room in the wings
