廚	厨	chú	kitchen
主廚	主厨	zhǔ chú	chef/to be the chef
君子遠庖廚	君子远庖厨	jūn zǐ yuàn páo chú	lit. a nobleman stays clear of the kitchen (idiom, from Mencius)/fig. a nobleman who has seen a living animal cannot bear to see it die, hence he keeps away from the kitchen
幫廚	帮厨	bāng chú	help in the mess kitchen
庖廚	庖厨	páo chú	kitchen/cook/chef
下廚	下厨	xià chú	to go to the kitchen (to prepare a meal)/to cook
廚具	厨具	chú jù	kitchen implements
廚司	厨司	chú sī	cook, chef
廚子	厨子	chú zi	cook
廚工	厨工	chú gōng	kitchen helper/assistant cook
廚師	厨师	chú shī	cook/chef
廚師長	厨师长	chú shī zhǎng	executive chef/head chef
廚房	厨房	chú fáng	kitchen/CL:間|间[jiān]
廚藝	厨艺	chú yì	cooking skills/culinary talent
廚衛	厨卫	chú wèi	kitchens and bathrooms
廚餘	厨余	chú yú	kitchen waste/food waste (recycling)
御廚	御厨	yù chú	imperial chef/imperial kitchen
掌廚	掌厨	zhǎng chú	to prepare meals/chef
行政總廚	行政总厨	xíng zhèng zǒng chú	executive chef
