彌	弥	mí	full/to fill/completely/more
安魂彌撒	安魂弥撒	ān hún mí sa	Requiem Mass (Catholic)
彌勒	弥勒	Mí lè	Mile county in Honghe Hani and Yi autonomous prefecture, Yunnan/Maitreya, the future Bodhisattva, to come after Shakyamuni Buddha
彌勒佛	弥勒佛	Mí lè fó	Maitreya/the Bodhisattva that will be the next to come after Shakyamuni Buddha
彌勒縣	弥勒县	Mí lè xiàn	Mile county in Honghe Hani and Yi autonomous prefecture, Yunnan
彌勒菩薩	弥勒菩萨	Mí lè Pú sà	Maitreya Bodhisattva
彌合	弥合	mí hé	to cause a wound to close up and heal
彌天	弥天	mí tiān	filling the entire sky/covering everything (of fog, crime, disaster etc)
彌天大謊	弥天大谎	mí tiān dà huǎng	a pack of lies (idiom)
彌封	弥封	mí fēng	to sign across the seal (as a precaution against fraud)
彌撒	弥撒	mí sa	(Catholic) Mass
彌散	弥散	mí sàn	to dissipate everywhere (of light, sound, gas etc)
彌月	弥月	mí yuè	full moon/first full moon after birth (i.e. entering the second month)
彌望	弥望	mí wàng	a full view
彌渡	弥渡	Mí dù	Midu county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
彌渡縣	弥渡县	Mí dù xiàn	Midu county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
彌滿	弥满	mí mǎn	to be full
彌漫	弥漫	mí màn	to pervade/to fill the air/diffuse/everywhere present/about to inundate (water)/permeated by (smoke)/filled with (dust)/to saturate (the air with fog, smoke etc)
彌留	弥留	mí liú	seriously ill and about to die
彌留之際	弥留之际	mí liú zhī jì	on one's deathbed/at the point of death
彌縫	弥缝	mí féng	to cover up mistakes or crimes/to stitch up/to fix
彌蒙	弥蒙	mí méng	impenetrable thick fog or smoke
彌補	弥补	mí bǔ	to complement/to make up for a deficiency
彌賽亞	弥赛亚	Mí sài yà	Messiah
彌足珍貴	弥足珍贵	mí zú zhēn guì	extremely precious/valuable
彌迦書	弥迦书	Mí jiā shū	Book of Micah
彌陀	弥陀	Mí tuó	Amitabha, the Buddha of the Western Paradise/abbr. for 阿彌陀佛|阿弥陀佛/Mituo or Mito township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
彌陀鄉	弥陀乡	Mí tuó xiāng	Mituo or Mito township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
欲蓋彌彰	欲盖弥彰	yù gài mí zhāng	trying to hide it makes it more conspicuous (idiom); A cover up only makes matters worse.
歷久彌堅	历久弥坚	lì jiǔ mí jiān	to become more resolute with the passing of time (idiom)
沙彌	沙弥	shā mí	novice Buddhist monk
笑口彌勒	笑口弥勒	Xiào kǒu Mí lè	laughing Maitreya
艾彌爾	艾弥尔	Ài mí ěr	Emile (name)
阿彌陀佛	阿弥陀佛	Ē mí tuó Fó	Amitabha Buddha/the Buddha of the Western paradise/may the lord Buddha preserve us!/merciful Buddha!
阿彌陀如來	阿弥陀如来	Ē mí tuó rú lái	Amitabha, Buddha of infinite light
阿耳忒彌斯	阿耳忒弥斯	Ā ěr tè mí sī	Artemis (Greek goddess of the moon)
須彌	须弥	Xū mí	Mt Meru or Sumeru, sacred mountain in Buddhist and Jain tradition/Mt Xumi in Guyuan 固原[Gù yuán], Ningxia, with many Buddhist cave statues
須彌山	须弥山	Xū mí shān	Mt Meru or Sumeru, sacred mountain in Buddhist and Jain tradition/Mt Xumi in Guyuan 固原[Gù yuán], Ningxia, with many Buddhist cave statues
