彙	汇	huì	class/collection
基本詞彙	基本词汇	jī běn cí huì	basic word
字彙	字汇	Zì huì	Zihui, Chinese character dictionary with 33,179 entries, released in 17th century
字彙	字汇	zì huì	(computer) character repertoire/glossary, lexicon
交彙	交汇	jiāo huì	variant of 交匯|交汇/to flow together/confluence (of rivers, airflow, roads)/(international) cooperation
彙報	汇报	huì bào	to report/to give an account of/report
彙整	汇整	huì zhěng	to collect and organize (papers etc)/to archive (data)/to summarize (evidence etc)/summary
彙映	汇映	huì yìng	variant of 匯映|汇映[huì yìng]
彙注	汇注	huì zhù	annotated collection
彙編	汇编	huì biān	variant of 匯編|汇编[huì biān]
彙總	汇总	huì zǒng	summary/to summarize/to collect (data, receipts etc)/to gather and report/also written 匯總|汇总
彙集	汇集	huì jí	to collect/to compile/to converge
後詞彙加工	后词汇加工	hòu cí huì jiā gōng	post-lexical access
文彙報	文汇报	Wén huì Bào	Wen Wei Po (Hong Kong newspaper)/Wenhui News (Shanghai newspaper)
詞彙	词汇	cí huì	vocabulary/list of words (e.g. for language teaching purposes)/word
詞彙分解	词汇分解	cí huì fēn jiě	lexical decomposition
詞彙判斷	词汇判断	cí huì pàn duàn	lexical decision
詞彙判斷任務	词汇判断任务	cí huì pàn duàn rèn wu	lexical decision task (psychology)
詞彙判斷作業	词汇判断作业	cí huì pàn duàn zuò yè	lexical decision task
詞彙判斷法	词汇判断法	cí huì pàn duàn fǎ	lexical decision task
詞彙學	词汇学	cí huì xué	lexicology (linguistics)
詞彙通路	词汇通路	cí huì tōng lù	lexical route
詞語彙	词语汇	cí yǔ huì	vocabulary
語彙	语汇	yǔ huì	vocabulary
