彥	彦	yàn	accomplished/elegant
巴彥浩特	巴彦浩特	Bā yàn Hào tè	Bayan Hot, capital of Alxa League 阿拉善盟[Ā lā shàn Méng], Inner Mongolia
巴彥浩特市	巴彦浩特市	Bā yàn Hào tè Shì	Bayan Hot, capital of Alxa League 阿拉善盟[Ā lā shàn Méng], Inner Mongolia/also written 巴彥浩特鎮|巴彦浩特镇[Bā yàn Hào tè Zhèn]
巴彥浩特鎮	巴彦浩特镇	Bā yàn Hào tè Zhèn	Bayan Hot, capital of Alxa League 阿拉善盟[Ā lā shàn Méng], Inner Mongolia
巴彥淖爾	巴彦淖尔	Bā yàn nào ěr	Bayan Nur prefecture-level city in Inner Mongolia
巴彥淖爾市	巴彦淖尔市	Bā yàn nào ěr shì	Bayan Nur prefecture-level city in Inner Mongolia
巴彥縣	巴彦县	Bā yàn xiàn	Bayan county in Harbin 哈爾濱|哈尔滨[Hā ěr bīn], Heilongjiang
巴彥	巴彦	Bā yàn	Bayan county in Harbin 哈爾濱|哈尔滨[Hā ěr bīn], Heilongjiang
李彥宏	李彦宏	Lǐ Yàn hóng	Robin Li (1968-), founder and CEO of Baidu 百度, a PRC Internet company
野田佳彥	野田佳彦	Yě tián Jiā yàn	Noda Yoshihiko, Prime Minister of Japan (2 September 2011 ~)
韓彥直	韩彦直	Hán Yàn zhí	Han Yanzhi (1131-?), Song dynasty botanist, author of classification of orange trees 橘錄|橘录[jú lù]
高村正彥	高村正彦	Gāo cūn Zhèng yàn	KOMURA Masahiko (1942-), Japanese politician, foreign minister from 1998, minister of defense from 2007
