憶	忆	yì	to recollect/to remember/memory
回憶	回忆	huí yì	to recall/memories/CL:個|个[gè]
回憶錄	回忆录	huí yì lù	memoir
失憶症	失忆症	shī yì zhèng	amnesia
工作記憶	工作记忆	gōng zuò jì yì	working memory
快速記憶法	快速记忆法	kuài sù jì yì fǎ	mnemotechnic method
快閃記憶體	快闪记忆体	kuài shǎn jì yì tǐ	(computing) flash memory
快閃記憶體盤	快闪记忆体盘	kuài shǎn jì yì tǐ pán	(computing) flash drive/thumb drive
USB記憶棒	USB记忆棒	U S B jì yì bàng	USB flash drive/see also 閃存盤|闪存盘[shǎn cún pán]
憶苦思甜	忆苦思甜	yì kǔ sī tián	to view one's past as miserable and one's present as happy (idiom)
憶苦飯	忆苦饭	yì kǔ fàn	unsavory meal taken in remembrance of past hardships/fig. poor-tasting meal
憶述	忆述	yì shù	to talk (or write) about one's recollections of past events
林憶蓮	林忆莲	Lín Yì lián	Sandy Lam (1966-), Hong Kong pop singer
短時語音記憶	短时语音记忆	duǎn shí yǔ yīn jì yì	short-term phonological memory
記憶	记忆	jì yì	to remember/to recall/memory/CL:個|个[gè]
記憶力	记忆力	jì yì lì	faculty of memory/ability to remember
記憶化	记忆化	jì yì huà	memoization (computing)
記憶器	记忆器	jì yì qì	memristor (memory transistor)
記憶廣度	记忆广度	jì yì guǎng dù	memory span
記憶猶新	记忆犹新	jì yì yóu xīn	to remain fresh in one's memory (idiom)
記憶電路	记忆电路	jì yì diàn lù	memory circuit
記憶體	记忆体	jì yì tǐ	(Tw) (computer) memory
追憶	追忆	zhuī yì	to recollect/to recall (past times)/to look back
隨機存取記憶體	随机存取记忆体	suí jī cún qǔ jì yì tǐ	random access memory (RAM)
