悅	悦	yuè	pleased
兩情相悅	两情相悦	liǎng qíng xiāng yuè	(of a couple) to be harmonious/to be each other's sunshine
凱悅	凯悦	Kǎi yuè	Hyatt (hotel company)/Hyatt Regency (hotel brand)
取悅	取悦	qǔ yuè	to try to please
君悅	君悦	Jūn yuè	Grand Hyatt (hotel brand)
和悅	和悦	hé yuè	affable/kindly
和顏悅色	和颜悦色	hé yán yuè sè	amiable manner/pleasant countenance
喜悅	喜悦	xǐ yuè	happy/joyous
士為知己者死，女為悅己者容	士为知己者死，女为悦己者容	shì wèi zhī jǐ zhě sǐ , nǚ wèi yuè jǐ zhě róng	a true gentleman will sacrifice his life for a friend who understands him, as a woman makes herself beautiful for her sweetheart
孫悅	孙悦	Sūn Yuè	Sun Yue (1973-), PRC female pop star/Sun Yue (1985-), PRC basketball star, plays for Los Angeles Lakers from 2007
心悅誠服	心悦诚服	xīn yuè chéng fú	to submit cheerfully/to accept willingly (idiom)
怡悅	怡悦	yí yuè	pleasant/happy
怡顏悅色	怡颜悦色	yí yán yuè sè	happy countenance
不悅	不悦	bù yuè	displeased/annoyed
悅納	悦纳	yuè nà	to find acceptable
悅耳	悦耳	yuè ěr	sweet-sounding/beautiful (of sound)
悅色	悦色	yuè sè	happy/contented
愉悅	愉悦	yú yuè	joyful/cheerful/delighted/joy/delight
抃悅	抃悦	biàn yuè	to clap one's hands in joy
柏悅	柏悦	Bó yuè	Park Hyatt (hotel brand)
歡悅	欢悦	huān yuè	happiness/joy/to be happy/to be joyous
爽心悅目	爽心悦目	shuǎng xīn yuè mù	beautiful and heartwarming
賞心悅目	赏心悦目	shǎng xīn yuè mù	warms the heart and delights the eye (idiom)/pleasing/delightful
面露不悅	面露不悦	miàn lù bù yuè	to show unhappiness or displeasure (idiom)
