懼	惧	jù	to fear
同性戀恐懼症	同性恋恐惧症	tóng xìng liàn kǒng jù zhèng	homophobia
坦然無懼	坦然无惧	tǎn rán wú jù	remain calm and undaunted
幽閉恐懼	幽闭恐惧	yōu bì kǒng jù	claustrophobia
幽閉恐懼症	幽闭恐惧症	yōu bì kǒng jù zhèng	claustrophobia
廣場恐懼	广场恐惧	guǎng chǎng kǒng jù	agoraphobia
廣場恐懼症	广场恐惧症	guǎng chǎng kǒng jù zhèng	agoraphobia
怵懼	怵惧	chù jù	fear/dread/panic
恐懼	恐惧	kǒng jù	to be frightened/fear/dread
恐懼症	恐惧症	kǒng jù zhèng	phobia
憂懼	忧惧	yōu jù	apprehension/apprehensive
危懼	危惧	wēi jù	afraid/apprehensive
懼內	惧内	jù nèi	henpecked
懼怕	惧怕	jù pà	to be afraid
懼高症	惧高症	jù gāo zhèng	acrophobia
戒懼	戒惧	jiè jù	wary
畏懼	畏惧	wèi jù	to fear/to dread/foreboding
疑懼	疑惧	yí jù	misgivings
社交恐懼症	社交恐惧症	shè jiāo kǒng jù zhèng	social phobia/social anxiety
驚懼	惊惧	jīng jù	to be alarmed/to be terrified
