慄	栗	lì	afraid/trembling
悸慄	悸栗	jì lì	to tremble with fear
不寒而慄	不寒而栗	bù hán ér lì	shiver all over though not cold/tremble with fear/shudder
慄然	栗然	lì rán	(literary) shivering/shuddering
戰慄	战栗	zhàn lì	to tremble/shudder
戰戰慄慄	战战栗栗	zhàn zhàn lì lì	to tremble with fear
股慄	股栗	gǔ lì	to shake like an aspen/to shiver with fear (idiom)
股慄膚粟	股栗肤粟	gǔ lì fū sù	with shuddering thighs and skin like gooseflesh (idiom)
觱慄	觱栗	bì lì	ancient bamboo reed instrument/Chinese shawm (probably related to central Asian zurna)
震慄	震栗	zhèn lì	trembling/to shiver with fear
顫慄	颤栗	zhàn lì	variant of 戰慄|战栗[zhàn lì]
驚慄	惊栗	jīng lì	horror (genre)/to tremble in fear
