憤	愤	fèn	indignant/anger/resentment
公憤	公愤	gōng fèn	public anger/popular indignation
怨憤	怨愤	yuàn fèn	resentment and indignation
悲憤	悲愤	bēi fèn	grief and indignation
感憤	感愤	gǎn fèn	moved to anger/indignant
不憤不啟	不愤不启	bù fèn bù qǐ	a student shall not be enlightened until he has tried hard by himself (idiom)
憤世嫉俗	愤世嫉俗	fèn shì jí sú	to be cynical/to be embittered
憤富	愤富	fèn fù	to hate the rich
憤怒	愤怒	fèn nù	angry/indignant/wrath/ire
憤恨	愤恨	fèn hèn	to hate/hatred/to resent/embittered
憤慨	愤慨	fèn kǎi	to resent/resentment
憤憤	愤愤	fèn fèn	extremely angry
憤憤不平	愤愤不平	fèn fèn bù píng	to feel indignant/to feel aggrieved
憤懣	愤懑	fèn mèn	depressed/resentful/discontented/indignant/perturbed
憤激	愤激	fèn jī	indignant/outraged
憤然	愤然	fèn rán	(literary) angry/irate
憤青	愤青	fèn qīng	angry youth/positive term used to describe young Chinese with extreme nationalistic tendencies/see also 糞青|粪青[fèn qīng]
氣憤	气愤	qì fèn	indignant/furious
洩憤	泄愤	xiè fèn	to give vent to anger
洩私憤	泄私愤	xiè sī fèn	to vent personal spite/to act out of malice (esp. of crime)
激憤	激愤	jī fèn	to stir up emotions/furious/angry/anger
發憤	发愤	fā fèn	to make a determined effort
發憤圖強	发愤图强	fā fèn tú qiáng	to be strongly determined to succeed (idiom)
發憤忘食	发愤忘食	fā fèn wàng shí	so dedicated as to forget one's meals (idiom)
私憤	私愤	sī fèn	personal spite/malice
積憤	积愤	jī fèn	accumulated anger/pent-up fury
羞憤	羞愤	xiū fèn	ashamed and resentful/indignant
義憤	义愤	yì fèn	righteous indignation/moral indignation
義憤填胸	义愤填胸	yì fèn tián xiōng	righteous indignation fills one's breast (idiom); to feel indignant at injustice
義憤填膺	义愤填膺	yì fèn tián yīng	righteous indignation fills one's breast (idiom); to feel indignant at injustice
