憲	宪	xiàn	statute/constitution
伊朗憲監會	伊朗宪监会	Yī lǎng Xiàn jiān huì	Guardian Council of the Constitution of Iran
修憲	修宪	xiū xiàn	to amend the constitution
合憲性	合宪性	hé xiàn xìng	constitutionality
君主立憲制	君主立宪制	jūn zhǔ lì xiàn zhì	constitutional monarchy
唐憲宗	唐宪宗	Táng Xiàn zōng	Emperor Xianzong of Tang (778-820), reign name of twelfth Tang emperor Li Chun 李純|李纯[Lǐ Chún] reigned 805-820
大憲章	大宪章	Dà Xiàn zhāng	Magna Carta
孝聖憲	孝圣宪	Xiào shèng xiàn	Empress Xiaoshengxian (1693-1777), consort of Emperor Yongzheng 雍正[Yōng zhèng] and mother of Emperor Qianlong 乾隆[Qián lóng]
彞憲	彝宪	yí xiàn	laws/regulations/rules
五權憲法	五权宪法	wǔ quán xiàn fǎ	Sun Yat-sen's Five-power constitution of Republic of China, then of Taiwan/The five courts or 院[yuàn] are 行政院[xíng zhèng yuàn] Executive yuan, 立法院[lì fǎ yuàn] Legislative yuan, 司法院[sī fǎ yuàn] Judicial yuan, 考試院|考试院[kǎo shì yuàn] Examination yuan, 監察院|监察院[jiān chá yuàn] Control yuan
憲兵	宪兵	xiàn bīng	military police
憲兵隊	宪兵队	Xiàn bīng duì	the Kempeitai or Japanese Military Police 1881-1945 (Japanese counterpart of the Gestapo during WWII)
憲制	宪制	xiàn zhì	system of constitutional government/(used as an attributive) constitutional
憲政	宪政	xiàn zhèng	constitutional government
憲政主義	宪政主义	xiàn zhèng zhǔ yì	constitutionalism
憲法	宪法	xiàn fǎ	constitution (of a country)/CL:部[bù]
憲法法院	宪法法院	xiàn fǎ fǎ yuàn	Constitutional Court
憲法監護委員會	宪法监护委员会	Xiàn fǎ Jiān hù Wěi yuán huì	Guardian Council, body of 12 appointed clerics which governs Iran
憲章	宪章	xiàn zhāng	charter
憲章派	宪章派	xiàn zhāng pài	the Chartist movement (in the 1840s in England)
按立憲治國	按立宪治国	àn lì xiàn zhì guó	to rule a country according to the constitution
立憲	立宪	lì xiàn	to set up a constitution
聯合國憲章	联合国宪章	Lián hé guó xiàn zhāng	United Nations charter
違反憲法	违反宪法	wéi fǎn xiàn fǎ	to violate the constitution
違憲	违宪	wéi xiàn	unconstitutional
零八憲章	零八宪章	Líng bā Xiàn zhāng	Charter 08, PRC pro-democracy petition of December 2008
黃遵憲	黄遵宪	Huáng Zūn xiàn	Huang Zunxian (1848-1905), Qing dynasty poet and diplomat, author of A Record of Japan 日本國誌|日本国志[Rì běn Guó zhì], an extended analysis of Meiji Japan
