懲	惩	chéng	to punish/to reprimand/to warn
嚴懲	严惩	yán chéng	to punish severely
嚴懲不貸	严惩不贷	yán chéng bù dài	to punish severely (idiom)
小懲大誡	小惩大诫	xiǎo chéng dà jiè	lit. to punish a little to prevent a lot (idiom); to criticize former mistakes firmly to prevent large scale repetition
從嚴懲處	从严惩处	cóng yán chéng chǔ	to deal with sb severely (idiom)
勸善懲惡	劝善惩恶	quàn shàn chéng è	to encourage virtue and punish evil (idiom); fig. poetic justice/you get what's coming to you
懲一儆百	惩一儆百	chéng yī jǐng bǎi	lit. punish one, warn one hundred (idiom)/fig. to make an example of sb
懲一警百	惩一警百	chéng yī jǐng bǎi	lit. punish one, warn one hundred (idiom)/fig. to make an example of sb/also written 懲一儆百|惩一儆百[chéng yī jǐng bǎi]
懲前毖後	惩前毖后	chéng qián bì hòu	lit. to punish those before to prevent those after (idiom); to criticize former mistakes firmly to prevent them happening again
懲惡勸善	惩恶劝善	chéng è quàn shàn	see 懲惡揚善|惩恶扬善[chéng è yáng shàn]
懲惡揚善	惩恶扬善	chéng è yáng shàn	to uphold virtue and condemn evil (idiom)
懲戒	惩戒	chéng jiè	to discipline/reprimand
懲治	惩治	chéng zhì	to punish
懲罰	惩罚	chéng fá	penalty/punishment/to punish
懲罰性	惩罚性	chéng fá xìng	punitive
懲處	惩处	chéng chǔ	to punish/to administer justice
懲辦	惩办	chéng bàn	to punish (someone)/to take disciplinary action against (someone)
獎懲	奖惩	jiǎng chéng	rewards and penalties
重懲	重惩	zhòng chéng	to punish severely
