戰	战	zhàn	to fight/fight/war/battle
不列顛保衛戰	不列颠保卫战	Bù liè diān Bǎo wèi zhàn	see 不列顛戰役|不列颠战役[Bù liè diān Zhàn yì])
不列顛戰役	不列颠战役	Bù liè diān Zhàn yì	Battle of Britain (Jul-Oct 1940)
不宣而戰	不宣而战	bù xuān ér zhàn	open hostilities without declaring war/start an undeclared war
不惜一戰	不惜一战	bù xī yī zhàn	to be ready to go to war
不戰不和	不战不和	bù zhàn bù hé	neither war nor peace
世界大戰	世界大战	shì jiè dà zhàn	world war
丙子戰爭	丙子战争	Bǐng zǐ Zhàn zhēng	second Manchu invasion of Korea (1636)
中法戰爭	中法战争	Zhōng Fǎ Zhàn zhēng	Sino-French War (1883-1885) (concerning French seizure of Vietnam)
中越戰爭	中越战争	Zhōng Yuè Zhàn zhēng	Sino-Vietnamese War (1979)
中途島戰役	中途岛战役	Zhōng tú Dǎo Zhàn yì	Battle of Midway, June 1942
主戰派	主战派	zhǔ zhàn pài	the pro-war faction/hawks
二戰	二战	Èr zhàn	World War II
二次世界大戰	二次世界大战	Èr cì Shì jiè Dà zhàn	World War Two
二次大戰	二次大战	Èr cì Dà zhàn	World War Two
交戰	交战	jiāo zhàn	to fight/to wage war
人海戰術	人海战术	rén hǎi zhàn shù	(military) human wave attack
伊斯蘭聖戰組織	伊斯兰圣战组织	Yī sī lán Shèng zhàn Zǔ zhī	Islamic Jihad (Palestinian armed faction)
休戰	休战	xiū zhàn	armistice
作戰	作战	zuò zhàn	combat/to fight
作戰失蹤	作战失踪	zuò zhàn shī zōng	see 作戰失蹤人員|作战失踪人员[zuò zhàn shī zōng rén yuán]
作戰失蹤人員	作战失踪人员	zuò zhàn shī zōng rén yuán	missing in action (MIA) (military)
侵略戰爭	侵略战争	qīn lüè zhàn zhēng	war of aggression
保證破壞戰略	保证破坏战略	bǎo zhèng pò huài zhàn lüè	assured destruction strategy
停戰	停战	tíng zhàn	armistice/cease fire
停戰日	停战日	Tíng zhàn rì	Armistice Day
備戰	备战	bèi zhàn	prepared against war/to prepare for war/warmongering
克里木戰爭	克里木战争	Kè lǐ mù Zhàn zhēng	the Crimean War (1853-1856)
內戰	内战	nèi zhàn	civil war
兩伊戰爭	两伊战争	Liǎng Yī Zhàn zhēng	Iran-Iraq War (1980-1988)
八二三砲戰	八二三炮战	bā èr sān pào zhàn	bombardment of Kinmen by PRC forces that started August 23rd 1958, also called second Taiwan strait crisis
六二五戰爭	六二五战争	Liù Èr wǔ Zhàn zhēng	the Korean War (started June 25 1950)
六日戰爭	六日战争	Liù Rì Zhàn zhēng	the Six-Day War of June 1967 between Israel and its Arab neighbors
冷戰	冷战	Lěng zhàn	(US-Soviet) Cold War
冷戰	冷战	lěng zhàn	cold war/(fig.) strained relationship/to be barely on speaking terms
冷戰	冷战	lěng zhan	(coll.) shiver/shudder
前哨戰	前哨战	qián shào zhàn	skirmish
力戰	力战	lì zhàn	to fight with all one's might
化學戰	化学战	huà xué zhàn	chemical warfare
化學戰劑	化学战剂	huà xué zhàn jì	chemical warfare agent
化學戰劑檢毒箱	化学战剂检毒箱	huà xué zhàn jì jiǎn dú xiāng	chemical detection kit
化學戰斗部	化学战斗部	huà xué zhàn dòu bù	chemical warhead
南征北戰	南征北战	nán zhēng běi zhàn	war on all sides (idiom); fighting from all four quarters
參戰	参战	cān zhàn	to go to war/to engage in war
反恐戰爭	反恐战争	fǎn kǒng zhàn zhēng	war on terrorism
反戰	反战	fǎn zhàn	anti-war
反戰抗議	反战抗议	fǎn zhàn kàng yì	antiwar protest
