戶	户	hù	a household/door/family
住戶	住户	zhù hù	household/inhabitant/householder
保戶	保户	bǎo hù	insurance policy holder
個體戶	个体户	gè tǐ hù	self-employed/a private firm (PRC usage)
傍人門戶	傍人门户	bàng rén mén hù	to be dependent upon sb
傍戶而立	傍户而立	bàng hù ér lì	to stand close to the door
債戶	债户	zhài hù	debtor
儲戶	储户	chǔ hù	(bank) depositor
儲蓄帳戶	储蓄帐户	chǔ xù zhàng hù	savings account (in bank)
入戶	入户	rù hù	to obtain a residence permit
凈身出戶	净身出户	jìng shēn chū hù	to leave a marriage with nothing (no possessions or property)
包產到戶	包产到户	bāo chǎn dào hù	fixing of farm output quotas for each household
包產到戶制	包产到户制	bāo chǎn dào hù zhì	system of quotas for farm output per household
千家萬戶	千家万户	qiān jiā wàn hù	every family (idiom)
吃大戶	吃大户	chī dà hù	to plunder the homes of the wealthy for food (in times of famine)/(of sb who has no income) to rely on others/to demand a "contribution" or "loan" from a business or wealthy individual
名義賬戶	名义账户	míng yì zhàng hù	nominal bank account
商戶	商户	shāng hù	merchant/trader/businessman/firm
圖像用戶介面	图像用户介面	tú xiàng yòng hù jiè miàn	graphical user interface/GUI
圖形用戶界面	图形用户界面	tú xíng yòng hù jiè miàn	graphical user interface (GUI)
在戶外	在户外	zài hù wài	outdoors
報戶口	报户口	bào hù kǒu	to apply for residence/to register a birth
多用戶	多用户	duō yòng hù	multiuser
夜不閉戶	夜不闭户	yè bù bì hù	lit. doors not locked at night (idiom); fig. stable society
大戶	大户	dà hù	great family/rich family/large landlord/conspicuous spender or consumer
存戶	存户	cún hù	depositor (in bank or shares)
安家落戶	安家落户	ān jiā luò hù	to make one's home in a place/to settle
定戶	定户	dìng hù	variant of 訂戶|订户[dìng hù]
客戶	客户	kè hù	client/customer
客戶應用	客户应用	kè hù yìng yòng	client application
客戶服務	客户服务	kè hù fú wù	customer service/client service
客戶服務器結構	客户服务器结构	kè hù fú wù qì jié gòu	client server architecture
客戶服務部	客户服务部	kè hù fú wù bù	customer service division
客戶機	客户机	kè hù jī	client (computer)
客戶機服務器環境	客户机服务器环境	kè hù jī fú wù qì huán jìng	client-server environment
客戶機軟件	客户机软件	kè hù jī ruǎn jiàn	client software
客戶端	客户端	kè hù duān	client (computing)
家喻戶曉	家喻户晓	jiā yù hù xiǎo	understood by everyone (idiom); well known/a household name
家家戶戶	家家户户	jiā jiā hù hù	each and every family (idiom)/every household
富戶	富户	fù hù	rich family/large landlord
專業戶	专业户	zhuān yè hù	family firm producing a special product/cottage industry
屠戶	屠户	tú hù	butcher
帳戶	帐户	zhàng hù	(bank, computer etc) account
