擾	扰	rǎo	to disturb
使困擾	使困扰	shǐ kùn rǎo	to harass
侵擾	侵扰	qīn rǎo	to invade and harass
兵戈擾攘	兵戈扰攘	bīng gē rǎo rǎng	arms and confusion (idiom); turmoil of war
喧擾	喧扰	xuān rǎo	to disturb by noise
困擾	困扰	kùn rǎo	to perplex/to disturb/to cause complications
射頻干擾	射频干扰	shè pín gān rǎo	radio interference/RF interference
干擾	干扰	gān rǎo	to disturb/to interfere/perturbation/interference (physics)
干擾素	干扰素	gān rǎo sù	interferon
庸人自擾	庸人自扰	yōng rén zì rǎo	lit. silly people get their panties in a bunch (idiom)/fig. to get upset over nothing/to make problems for oneself
徒自驚擾	徒自惊扰	tú zì jīng rǎo	to alarm oneself unnecessarily (idiom)
微擾	微扰	wēi rǎo	infinitesimal disturbance/perturbation (physics)
微擾展開	微扰展开	wēi rǎo zhǎn kāi	perturbative expansion (physics)
微擾論	微扰论	wēi rǎo lùn	perturbation theory
性騷擾	性骚扰	xìng sāo rǎo	sexual harassment
打擾	打扰	dǎ rǎo	to disturb/to bother/to trouble
搔擾	搔扰	sāo rǎo	to disturb/to harass
不勝其擾	不胜其扰	bù shèng qí rǎo	unable to put up with (sth) any longer
擾亂	扰乱	rǎo luàn	to disturb/to perturb/to harass
擾動	扰动	rǎo dòng	to disturb/to stir up/disturbance/agitation/turmoil
擾攘	扰攘	rǎo rǎng	bustling/to create trouble/to disturb
擾流板	扰流板	rǎo liú bǎn	spoiler (automotive or aeronautical)
攪擾	搅扰	jiǎo rǎo	to disturb/to annoy
滋擾	滋扰	zī rǎo	to cause trouble/to provoke a dispute
煩擾	烦扰	fán rǎo	to bother/to disturb/to vex
竄擾	窜扰	cuàn rǎo	to invade and harass
紛擾	纷扰	fēn rǎo	turmoil/unrest/disturbance
纏擾	缠扰	chán rǎo	to harass/to disturb
自相驚擾	自相惊扰	zì xiāng jīng rǎo	to frighten one another
討擾	讨扰	tǎo rǎo	I beg to disturb you/I trespass on your hospitality/Thank you for your hospitality!
請勿打擾	请勿打扰	qǐng wù dǎ rǎo	please do not disturb
阻擾	阻扰	zǔ rǎo	to obstruct/to impede
電磁干擾	电磁干扰	diàn cí gān rǎo	electromagnetic interference
非微擾	非微扰	fēi wēi rǎo	non-perturbative (physics)
非誠勿擾	非诚勿扰	fēi chéng wù rǎo	serious inquiries only
馴擾	驯扰	xùn rǎo	to tame
騷擾	骚扰	sāo rǎo	to disturb/to cause a commotion/to harass
騷擾客蚤	骚扰客蚤	sāo rǎo kè zǎo	Xenopsylla vexabilis
驚擾	惊扰	jīng rǎo	to alarm/to agitate
