捨	舍	shě	to give up/to abandon/to give alms
依依不捨	依依不舍	yī yī bù shě	reluctant to part (idiom); broken-hearted at having to leave
割捨	割舍	gē shě	to give up/to part with
取捨	取舍	qǔ shě	to choose/to accept or reject
善財難捨	善财难舍	shàn cái nán shě	to cherish wealth and find it hard to give up (idiom); refusing to contribute to charity/skinflint/miserly
四捨五入	四舍五入	sì shě wǔ rù	to round up to the nearest integer/to discard four, but treat five as whole (of decimal points)
四鄰八捨	四邻八舍	sì lín bā shè	the whole neighborhood
愛麗捨宮	爱丽舍宫	Ài lì shě Gōng	Elysée Palace, the residence of the president of the French Republic
戀戀不捨	恋恋不舍	liàn liàn bù shě	reluctant to part
不捨	不舍	bù shě	reluctant to part with (sth or sb)/unwilling to let go of
捨下	舍下	shě xià	to abandon/to lay down
捨不得	舍不得	shě bu de	to hate to do sth/to hate to part with/to begrudge
捨不得孩子套不住狼	舍不得孩子套不住狼	shě bù de hái zi tào bù zhù láng	one who is not prepared to risk his child will never catch the wolf (proverb)/(fig.) one who is unwilling to take risks will not achieve great things
捨命	舍命	shě mìng	to risk one's life
捨己	舍己	shě jǐ	selfless/self-sacrifice (to help others)/self-renunciation/altruism
捨己救人	舍己救人	shě jǐ jiù rén	to abandon self for others (idiom); to sacrifice oneself to help the people/altruism
捨己為人	舍己为人	shě jǐ wèi rén	to abandon self for others (idiom, from Analects); to sacrifice one's own interest for other people/altruism
捨己為公	舍己为公	shě jǐ wèi gōng	to give up one's private interests for the public good (idiom); to behave altruistically/selfless and public spirited
捨得	舍得	shě de	to be willing to part with sth
捨得一身剮，敢把皇帝拉下馬	舍得一身剐，敢把皇帝拉下马	shě de yī shēn guǎ , gǎn bǎ huáng dì lā xià mǎ	one who does not fear the death of thousand cuts will dare to unhorse the emperor (proverb)/to a fearless person, no fence is high enough
捨本逐末	舍本逐末	shě běn zhú mò	to neglect the root and pursue the tip (idiom)/to neglect fundamentals and concentrate on details
捨棄	舍弃	shě qì	to give up/to abandon/to abort
捨正從邪	舍正从邪	shě zhèng cóng xié	to be corrupted by evil influences (idiom)
捨生取義	舍生取义	shě shēng qǔ yì	to give up life for righteousness (idiom, from Mencius); to choose honor over life/would rather sacrifice one's life than one's principles
捨生忘死	舍生忘死	shě shēng wàng sǐ	bravery with no thought of personal safety (idiom); risking life and limb/undaunted by perils
捨身	舍身	shě shēn	to give one's life
捨身求法	舍身求法	shě shēn qiú fǎ	to abandon one's body in the search for Buddha's truth (idiom)
捨車保帥	舍车保帅	shě jū bǎo shuài	rook sacrifice to save the king (in Chinese chess); fig. to protect a senior figure by blaming an underling/to pass the buck
施捨	施舍	shī shě	to give in charity/to give alms (to the poor)
施粥捨飯	施粥舍饭	shī zhōu shě fàn	to provide alms and rice (idiom)
神不守捨	神不守舍	shén bù shǒu shè	abstracted/drifting off/restless
菲捨爾	菲舍尔	Fēi shě ěr	Fisher (name)
退避三捨	退避三舍	tuì bì sān shè	lit. to retreat three day's march (idiom); fig. to give way in the face of superior strength/a strategic withdrawal
鍥而不捨	锲而不舍	qiè ér bù shě	to chip away at a task and not abandon it (idiom); to chisel away at sth/to persevere/unflagging efforts
難分難捨	难分难舍	nán fēn nán shě	loath to part (idiom); emotionally close and unwilling to separate
難捨難分	难舍难分	nán shě nán fēn	loath to part (idiom); emotionally close and unwilling to separate
難捨難離	难舍难离	nán shě nán lí	loath to part (idiom); emotionally close and unwilling to separate
