擲	掷	zhì	to toss/to throw dice/Taiwan pr. [zhí]
千金一擲	千金一掷	qiān jīn yī zhì	lit. stake a thousand pieces of gold on one throw (idiom); to throw away money recklessly/extravagant
孤注一擲	孤注一掷	gū zhù yī zhì	to stake all on one throw
投擲	投掷	tóu zhì	to throw sth a long distance/to hurl/to throw at/to throw (dice etc)/to flip (a coin)
拋擲	抛掷	pāo zhì	to throw/to cast
一擲千金	一掷千金	yī zhì qiān jīn	lit. stake a thousand pieces of gold on one throw (idiom); to throw away money recklessly/extravagant
擲地有聲	掷地有声	zhì dì yǒu shēng	lit. if thrown on the floor, it will make a sound (idiom)/fig. (of one's words) powerful and resonating/to have substance
擲筊	掷筊	zhì jiǎo	poe divination, a traditional Chinese divination method where a pair of crescent-shaped wooden or bamboo blocks is thrown on the ground, with the positions of the blocks determining the divine answer
擲色	掷色	zhì shǎi	to throw the dice
擲還	掷还	zhì huán	please return (an item sent in the mail)
擲骰子	掷骰子	zhì tóu zi	to throw the dice
