擴	扩	kuò	to enlarge
可擴展標記語言	可扩展标记语言	kě kuò zhǎn biāo jì yǔ yán	extensible markup language (XML)
基因擴大	基因扩大	jī yīn kuò dà	gene amplification
彩擴	彩扩	cǎi kuò	to enlarge color photos/color film processing
不擴散核武器條約	不扩散核武器条约	Bù Kuò sàn Hé wǔ qì Tiáo yuē	Treaty on the Non-Proliferation of Nuclear Weapons
擴充	扩充	kuò chōng	to expand
擴列	扩列	kuò liè	(Internet slang) to add a friend (on a social network etc)
擴印	扩印	kuò yìn	to enlarge (a photo)/to print larger
擴及	扩及	kuò jí	to extend to
擴增	扩增	kuò zēng	to augment/to amplify/to extend/to expand
擴增實境	扩增实境	kuò zēng shí jìng	augmented reality (computing)
擴大	扩大	kuò dà	to expand/to enlarge/to broaden one's scope
擴大再生產	扩大再生产	kuò dà zài shēng chǎn	to expand production/to reproduce on an extended scale
擴大化	扩大化	kuò dà huà	to extend the scope/to exaggerate
擴孔	扩孔	kuò kǒng	to widen a tube/to ream (i.e. widen a hole)
擴展	扩展	kuò zhǎn	to extend/to expand/extension/expansion
擴展塢	扩展坞	kuò zhǎn wù	docking station
擴建	扩建	kuò jiàn	to extend (a building, an airport runway etc)
擴張	扩张	kuò zhāng	expansion/dilation/to expand (e.g. one's power or influence)/to broaden
擴散	扩散	kuò sàn	to spread/to proliferate/to diffuse/spread/proliferation/diffusion
擴散周知	扩散周知	kuò sàn zhōu zhī	to let everyone know/spread the word!
擴版	扩版	kuò bǎn	to increase the number of pages or the size of the pages of a publication
擴編	扩编	kuò biān	to expand (esp. by new recruitment)/to increase the army/to augment
擴胸器	扩胸器	kuò xiōng qì	chest expander (exercise equipment)
擴軍	扩军	kuò jūn	armament/to expand armed forces
擴音	扩音	kuò yīn	to amplify (sound)
擴音器	扩音器	kuò yīn qì	megaphone/loudspeaker/amplifier/microphone
擴音機	扩音机	kuò yīn jī	amplifier/loudspeaker/hearing aid
核不擴散	核不扩散	hé bù kuò sàn	nuclear nonproliferation
核擴散	核扩散	hé kuò sàn	nuclear proliferation
氣體擴散	气体扩散	qì tǐ kuò sàn	gaseous diffusion
海底擴張	海底扩张	hǎi dǐ kuò zhāng	seafloor spreading (geology)
海底擴張說	海底扩张说	hǎi dǐ kuò zhāng shuō	theory of seafloor spreading (geology)
