攤	摊	tān	to spread out/vendor's stand
地攤	地摊	dì tān	street stall with goods laid out on the ground
均攤	均摊	jūn tān	to share equally/to distribute evenly
報刊攤	报刊摊	bào kān tān	newsstand
報攤	报摊	bào tān	newsstand
小攤	小摊	xiǎo tān	vendor's stall
小攤兒	小摊儿	xiǎo tān r5	erhua variant of 小攤|小摊[xiǎo tān]
平攤	平摊	píng tān	to spread out/(fig.) to share equally
撂地攤	撂地摊	liào dì tān	see 撂地[liào dì]
擺地攤	摆地摊	bǎi dì tān	lit. to set up a stall on the ground/fig. to start up a new business
擺攤	摆摊	bǎi tān	to set up a vendor's stall in the street
擺攤子	摆摊子	bǎi tān zi	to set up a stall/to maintain a large staff and organization
分攤	分摊	fēn tān	to share (costs, responsibilities)/to apportion
攤事兒	摊事儿	tān shì r5	(coll.) to get into trouble
攤位	摊位	tān wèi	vendor's booth
攤兒	摊儿	tān r5	erhua variant of 攤|摊[tān]
攤售	摊售	tān shòu	to set up stall
攤商	摊商	tān shāng	stallkeeper/street peddler
攤子	摊子	tān zi	booth/vendor's stall/organizational structure/scale of operations
攤提	摊提	tān tí	to amortize/amortization
攤擋	摊挡	tān dǎng	see 攤檔|摊档[tān dàng]
攤曬	摊晒	tān shài	to lay sth out to dry
攤檔	摊档	tān dàng	(dialect) vendor's stall
攤派	摊派	tān pài	to apportion expenses, responsibilities etc/to demand contributions
攤牌	摊牌	tān pái	to lay one's cards on the table
攤薄	摊薄	tān bó	dilution
攤薄後每股盈利	摊薄后每股盈利	tān bó hòu měi gǔ yíng lì	diluted earnings per share
攤販	摊贩	tān fàn	stallkeeper/peddler
攤銷	摊销	tān xiāo	to amortize/amortization
攤錢	摊钱	tān qián	to bear part of the cost
攤開	摊开	tān kāi	to spread out/to unfold
攤雞蛋	摊鸡蛋	tān jī dàn	scrambled eggs
攤頭	摊头	tān tóu	a vendor's stall
攤黃菜	摊黄菜	tān huáng cài	(dialect) scrambled eggs
攤點	摊点	tān diǎn	place for a vendor's stall
散攤子	散摊子	sàn tān zi	to break up/to disband
爛攤子	烂摊子	làn tān zi	terrible mess/shambles
設攤	设摊	shè tān	to set up a vendor's stand
貨攤	货摊	huò tān	vendor's stall
鋪攤	铺摊	pū tan	to spread out/to display/to lay out a vendor's stall
雜貨攤	杂货摊	zá huò tān	stall selling various goods
食品攤	食品摊	shí pǐn tān	food vendor's stand
