斬	斩	zhǎn	to behead (as form of capital punishment)/to chop
兩國相爭，不斬來使	两国相争，不斩来使	liǎng guó xiāng zhēng , bù zhǎn lái shǐ	when two kingdoms are at war, they don't execute envoys (idiom)
快刀斬亂麻	快刀斩乱麻	kuài dāo zhǎn luàn má	lit. quick sword cuts through tangled hemp (idiom); decisive action in a complex situation/cutting the Gordian knot
披荊斬棘	披荆斩棘	pī jīng zhǎn jí	lit. to cut one's way through thistles and thorns (idiom)/fig. to overcome all obstacles on the way/to break through hardships/to blaze a new trail
先斬後奏	先斩后奏	xiān zhǎn hòu zòu	first decapitate then present your trophy (idiom); act first, report later
斬新	斩新	zhǎn xīn	variant of 嶄新|崭新[zhǎn xīn]
斬斷	斩断	zhǎn duàn	to cut off/to chop sth in half
斬殺	斩杀	zhǎn shā	to behead
斬眼	斩眼	zhǎn yǎn	to blink (literary)
斬而不奏	斩而不奏	zhǎn ér bù zòu	to do sth and not report the fact (idiom)
斬草除根	斩草除根	zhǎn cǎo chú gēn	to cut weeds and eliminate the roots (idiom); to destroy root and branch/to eliminate completely
斬釘截鐵	斩钉截铁	zhǎn dīng jié tiě	lit. to chop the nail and slice the iron (idiom)/fig. resolute and decisive/unhesitating/categorical
斬首	斩首	zhǎn shǒu	to behead
殺虎斬蛟	杀虎斩蛟	shā hǔ zhǎn jiāo	lit. to kill the tiger and behead the scaly dragon
滿門抄斬	满门抄斩	mǎn mén chāo zhǎn	to execute the whole family and confiscate their property
白斬雞	白斩鸡	bái zhǎn jī	Cantonese poached chicken, known as "white cut chicken"
腰斬	腰斩	yāo zhǎn	to chop sb in half at the waist (capital punishment)/to cut sth in half/to reduce sth by a dramatic margin/to terminate/to cut short
過五關斬六將	过五关斩六将	guò wǔ guān zhǎn liù jiàng	lit. to cross five passes and slay six generals (idiom)/fig. to surmount all difficulties (on the way to success)
過關斬將	过关斩将	guò guān zhǎn jiàng	to surmount all difficulties (on the way to success) (idiom)/abbr. for 過五關斬六將|过五关斩六将[guò wǔ guān zhǎn liù jiàng]
