暫	暂	zàn	temporary/Taiwan pr. [zhàn]
人生短暫，學術無涯	人生短暂，学术无涯	rén shēng duǎn zàn , xué shù wú yá	Life is short, learning is limitless/Ars longa, vita brevis
暫且	暂且	zàn qiě	for now/for the time being/temporarily
暫住證	暂住证	zàn zhù zhèng	temporary residence permit
暫停	暂停	zàn tíng	to suspend/time-out (e.g. in sports)/stoppage/pause (media player)
暫定	暂定	zàn dìng	temporary arrangement/provisional/tentative
暫息	暂息	zàn xī	a lull (in the storm)/brief break (in rain)
暫態	暂态	zàn tài	transient
暫擱	暂搁	zàn gē	temporarily stopped/in abeyance
暫時	暂时	zàn shí	temporary/provisional/for the time being
暫牙	暂牙	zàn yá	deciduous tooth/milk tooth/baby tooth/also written 乳齒|乳齿[rǔ chǐ]
暫短	暂短	zàn duǎn	brief (in time)
暫緩	暂缓	zàn huǎn	to postpone
暫缺	暂缺	zàn quē	currently in short supply/in deficit (of commodity)/currently vacant (position)
暫行	暂行	zàn xíng	provisional
睡眠呼吸暫停	睡眠呼吸暂停	shuì mián hū xī zàn tíng	central sleep apnea (CSA)
短暫	短暂	duǎn zàn	of short duration/brief/momentary
