曆	历	lì	calendar
四分曆	四分历	sì fēn lì	"quarter remainder" calendar, the first calculated Chinese calendar, dating from c. 484 BC
夏曆	夏历	xià lì	the traditional Chinese lunar calendar
大明曆	大明历	Dà míng lì	the 5th century Chinese calendar established by Zu Chongzhi 祖沖之|祖冲之
年曆	年历	nián lì	calendar/diary
慶曆新政	庆历新政	Qìng lì xīn zhèng	failed reform of Northern Song government in 1043
掛曆	挂历	guà lì	wall calendar
新曆	新历	xīn lì	Gregorian calendar/solar calendar
日曆	日历	rì lì	calendar/CL:張|张[zhāng],本[běn]
星曆	星历	xīng lì	astronomic calendar
公曆	公历	gōng lì	Gregorian calendar/solar calendar
曆年	历年	lì nián	calendar year
曆書	历书	lì shū	almanac
曆法	历法	lì fǎ	calendar science/calendar system
月曆	月历	yuè lì	monthly calendar
校曆	校历	xiào lì	school calendar
格列高利曆	格列高利历	Gé liè gāo lì lì	Gregorian calendar
皇曆	皇历	huáng li	almanac
翻老皇曆	翻老皇历	fān lǎo huáng lì	to look to the past for guidance (idiom)
老皇曆	老皇历	lǎo huáng lì	(lit.) past years' almanac/(fig.) ancient history/obsolete practice/old-fashioned principle
舊曆	旧历	jiù lì	old calendar/the Chinese lunar calendar/same as 農曆|农历[nóng lì]
舊曆年	旧历年	jiù lì nián	lunar New Year
舊皇曆	旧皇历	jiù huáng li	old calendar/out-of-date customs
萬年曆	万年历	wàn nián lì	perpetual calendar/ten thousand year calendar/Islamic calendar introduced to Yuan China by Jamal al-Din 紮馬剌丁|扎马剌丁
萬曆	万历	Wàn lì	reign name of Ming emperor (1573-1619)
行事曆	行事历	xíng shì lì	calendar/schedule
西曆	西历	xī lì	Gregorian calendar/Western calendar
農曆	农历	nóng lì	the traditional Chinese calendar/the lunar calendar
農曆新年	农历新年	nóng lì xīn nián	Chinese New Year/Lunar New Year
陰曆	阴历	yīn lì	lunar calendar
陽曆	阳历	yáng lì	solar calendar/Western (Gregorian) calendar
隔年皇曆	隔年皇历	gé nián huáng lì	lit. almanac from years back (idiom)/obsolete practice/old-fashioned principle
