柵	栅	zhà	fence/also pr. [shān]
木柵	木栅	Mù zhà	Muzha (old spelling: Mucha), suburb to the southeast of Taipei
木柵線	木栅线	Mù zhà xiàn	Taipei Metro Muzha Line, former name of the Wenshan Line 文山線|文山线[Wén shān xiàn]
散熱器護柵	散热器护栅	sàn rè qì hù shān	radiator grille
柵子	栅子	zhà zi	bamboo fence
柵格	栅格	shān gé	grid/lattice/raster
柵條	栅条	zhà tiáo	paling/fence rail
柵極	栅极	shān jí	grid (in vacuum tubes)/gate (terminal of a field-effect transistor)
柵欄	栅栏	zhà lán	fence
柵籬	栅篱	zhà lí	hedge/fence
柵門	栅门	zhà mén	gate/door with grating/turnstile/logical gate (electronics)
欄柵	栏栅	lán zhà	barrier
球柵陣列封裝	球栅阵列封装	qiú shān zhèn liè fēng zhuāng	ball grid array (BGA), type of microchip package
