棗	枣	zǎo	jujube/dates
囫圇吞棗	囫囵吞枣	hú lún tūn zǎo	to swallow in one gulp (idiom)/(fig.) to accept without thinking/to lap up
大棗	大枣	dà zǎo	see 紅棗|红枣[hóng zǎo]
打一巴掌，給個甜棗	打一巴掌，给个甜枣	dǎ yī bā zhang , gěi gè tián zǎo	lit. to give sb a slap, then offer a sweet date (idiom)/fig. to deal harshly with sb, then offer sth by way of consolation
南棗	南枣	nán zǎo	dried jujubes
棗子	枣子	zǎo zi	dates/jujube
棗強	枣强	Zǎo qiáng	Zaoqiang county in Hengshui 衡水[Héng shuǐ], Hebei
棗強縣	枣强县	Zǎo qiáng xiàn	Zaoqiang county in Hengshui 衡水[Héng shuǐ], Hebei
棗樹	枣树	zǎo shù	jujube tree/date tree/Zizyphus vulgaris/CL:棵[kē]
棗泥	枣泥	zǎo ní	jujube paste
棗莊	枣庄	Zǎo zhuāng	Zaozhuang prefecture level city in Shandong
棗莊市	枣庄市	Zǎo zhuāng shì	Zaozhuang prefecture level city in Shandong
棗陽	枣阳	Zǎo yáng	Zaoyang county level city in Xiangfan 襄樊[Xiāng fán], Hubei
棗陽市	枣阳市	Zǎo yáng shì	Zaoyang county level city in Xiangfan 襄樊[Xiāng fán], Hubei
歪瓜劣棗	歪瓜劣枣	wāi guā liè zǎo	ugly/repulsive/also written 歪瓜裂棗|歪瓜裂枣[wāi guā liè zǎo]
歪瓜裂棗	歪瓜裂枣	wāi guā liè zǎo	ugly/repulsive
海棗	海枣	hǎi zǎo	date (fruit)
紅棗	红枣	hóng zǎo	jujube/red date
蜜棗	蜜枣	mì zǎo	candied jujube
酒棗	酒枣	jiǔ zǎo	dates in liquor
酸棗	酸枣	suān zǎo	sour date (Ziziphus jujuba var. spinosa)
醉棗	醉枣	zuì zǎo	dates in liquor
青棗	青枣	qīng zǎo	blue or green jujube/Chinese green date
