欖	榄	lǎn	olive
山欖科	山榄科	shān lǎn kē	Sapotaceae (botany)
橄欖	橄榄	gǎn lǎn	Chinese olive/olive
橄欖山	橄榄山	gǎn lǎn shān	Mount of Olives (in the Christian passion story)
橄欖岩	橄榄岩	gǎn lǎn yán	peridotite (geology)
橄欖枝	橄榄枝	gǎn lǎn zhī	olive branch/symbol of peace
橄欖樹	橄榄树	gǎn lǎn shù	olive tree
橄欖油	橄榄油	gǎn lǎn yóu	olive oil
橄欖球	橄榄球	gǎn lǎn qiú	football played with oval-shaped ball (rugby, American football, Australian rules etc)
橄欖石	橄榄石	gǎn lǎn shí	olivine (rock-forming mineral magnesium-iron silicate (Mg,Fe)2SiO4)/peridot
橄欖綠	橄榄绿	gǎn lǎn lǜ	olive-green (color)
原生橄欖油	原生橄榄油	yuán shēng gǎn lǎn yóu	virgin olive oil
欖角	榄角	lǎn jiǎo	black olive (Canarium tramdenum)
澳式橄欖球	澳式橄榄球	Ào shì gǎn lǎn qiú	Australian rules football/Aussie rules
烏欖	乌榄	wū lǎn	black olive (Canarium tramdenum)
美式橄欖球	美式橄榄球	Měi shì gǎn lǎn qiú	American football
英式橄欖球	英式橄榄球	Yīng shì gǎn lǎn qiú	rugby
