樁	桩	zhuāng	stump/stake/pile/classifier for items
寧拆十座廟，不毀一樁婚	宁拆十座庙，不毁一桩婚	níng chāi shí zuò miào , bù huì yī zhuāng hūn	rather destroy ten temples than a single marriage (idiom)
小事一樁	小事一桩	xiǎo shì yī zhuāng	trivial matter/a piece of cake
打樁	打桩	dǎ zhuāng	to drive piles into
打樁機	打桩机	dǎ zhuāng jī	pile driver (machinery)
暗樁	暗桩	àn zhuāng	submerged piles installed to prevent the passage of boats/(fig.) informer/spy
木樁	木桩	mù zhuāng	wooden pile/stake
板樁	板桩	bǎn zhuāng	sheet pile
基樁	基桩	jī zhuāng	foundation piles
樁構棧道	桩构栈道	zhuāng gòu zhàn dào	pile trestle
樁腳	桩脚	zhuāng jiǎo	pier foundation (architecture)/(Tw) politically influential figure enlisted to support one side in an election
標樁	标桩	biāo zhuāng	(marking) stake
樹樁	树桩	shù zhuāng	tree stump
綁樁	绑桩	bǎng zhuāng	(Tw) to buy off influential people (in an election, a call for tenders etc)
纜樁	缆桩	lǎn zhuāng	mooring bollard
